"Id";"Year"
"MAYNARD P";2003
"MCCLURE P";2020
"MEI H";2020
"METTER D";1981
"MOHSENI N";2017
"MONTASER A";1993
"MORGAN SL";2020
"MUDDIMAN D";2013
"MUDDIMAN DC";2015
"MUEHLETHALER C";2020
"MUJUMDAR N";2019
"MUOZ DE LA PEA A";2016
"MUOZ DR";2020
"MURRAY KR";2017
"NEUMANN C";2017
"NIEUWLAND AA";2009
"NIVEN BE";2012
"OBENG YS";2020
"OBRZUT J";2020
"OLEJNIK K";2020
"PADHYE R";2020
"PALENIK CS";2018
"PALMER R";2018
"PASQUALUCCI CAG";2014
"PAULSSON N";1999
"PEARSON EF";1973
"PEDERSEN M";2018
"POSTEK MT";2020
"POSTER DL";2020
"POUNDS CA";1973
"PRABHU R";2019
"PRANGE A";1995
"PRICE E";2020
"PRZYBYLSKA D";2020
"RAMBALDI DC";2011
"RANTALA M";2014
"REEDY BJ";2006
"REFFNER JA";2020
"REICHARD EJ";2017
"RESCHIGLIAN P";2011
"REUS U";1995
"RIAHI-ZANJANI B";2019
"RIDGE IML";2015
"ROBERSON SN";2009
"ROBERTS KA";2020
"ROBERTSON J";2017
"ROBICHAUD G";2015
"ROBSON R";2002
"RODA A";2011
"RODEWIJK N";2017
"ROMANO AS";2020
"ROSENGARTEN A";2012
"ROUX CP";2017
"RUNOWSKI M";2020
"SAITO K";2011
"SALTER MT";1996
"SAMPO J";2014
"SAVITSKIJ D";2007
"SCHIAVONE S";2006
"SCHNEGG M";2018
"SCHOTMAN TG";2017
"SCHWARZ G";1985
"SCHWERD W";1981
"SCOWEN IJ";2011
"SELIKOFF IJ";1981
"SHARMA RM";2020
"SHERIDAN K";2017
"SHI H";2018
"SIGMAN ME";2007
"SILTANEN S";2014
"SMIGIEL-KAMINSKA D";2020
"SMITH AFM";2003
"SMITH PA";2007
"SMITH WE";1999
"SPEERS SJ";1995
"STARCZAK R";2016
"STAUBER M";2012
"STEFAN AR";2009
"STEPNOWSKI P";2020
"STONEY DA";2017
"STONEY PL";2015
"STUART BH";2017
"SUGITA R";2009
"SUZUKI S";2014
"SUZUKI Y";2016
"SZCZESZAK A";2020
"TAKALO J";2014
"TAKEKOSHI Y";1996
"TAYLOR MC";2010
"TEIGE K";1986
"THOMAS J";2005
"TIDY H";2019
"TIMONEN J";2014
"TOBIN DJ";2010
"TSACH T";2015
"TUNGOL MW";1993
"UELAND M";2017
"UHRENHOLT L";2018
"UITDEHAAG S";2015
"UKAI S";1996
"VAN BRONSWIJK W";2018
"VAN DER WEERD J";2017
"VAN ZANTEN Z";2012
"VANDEN DRIESSCHE T";2017
"VANN BC";2009
"VIELHAUER C";2015
"VUJASINOVIC E";2010
"WANG L";2018
"WANG X";2016
"WANG Y";2015
"WAS-GUBALA J";2020
"WAS J";1997
"WATSON ND";2004
"WATTS JF";2007
"WETZEL DL";2001
"WHEALS BB";1985
"WHITE GW";1998
"WHITE PC";1999
"WIGGINS KG";2017
"WOOD AR";2007
"XU X";2017
"YADAV PK";2020
"YONAMINE M";2015
"ZATTONI A";2011
"ZHANG Y";2020
"ZHANG Z";2014
"ZHAO X-L";2020
"ZHOU C";2016
"ZHU J";2020
"ZIEBA-PALUS J";2012
"ZUPANIC S";2010
