"PY"	"TI"	"AU"	"DES"	"IDS"	"DI"	"SO"	"C1S"	"Coder"	"DT"
1970	"BRAINSTEM LESIONS CHARACTERISTIC OF TRAUMATIC HYPEREXTENSION OF THE HEAD."	"LINDENBERG R;FREYTAG E"	NA	"ACCIDENT;  ADOLESCENT;  ADULT;  AGED;  ARTICLE;  AUTOPSY;  BRAIN HEMORRHAGE;  BRAIN STEM;  CONTUSION;  EPIDURAL HEMATOMA;  FEMALE;  FORENSIC MEDICINE;  HEAD INJURY;  HUMAN;  INJURY;  MALE;  MOTION;  MYELIN SHEATH;  NERVE FIBER;  PATHOLOGY; ACCIDENTS;  AXONS;  CEREBRAL HEMORRHAGE;  CONTUSIONS;  CRANIOCEREBRAL TRAUMA;  HEMATOMA; EPIDURAL;  MIDDLE AGE"	NA	"ARCHIVES OF PATHOLOGY"	NA	"Scopus"	"ARTICLE"
1971	"DIFFERENTIATION OF MICROGRAM QUANTITIES OF ACRYLIC AND MODACRYLIC FIBERS USING PYROLYSIS GAS-LIQUID CHROMATOGRAPHY."	"BORTNIAK JP;BROWN SE;SILD EH"	NA	"ACRYLIC ACID DERIVATIVE; ARTICLE;  CHEMISTRY;  CLASSIFICATION;  FORENSIC MEDICINE;  GAS CHROMATOGRAPHY;  HEAT; ACRYLATES;  CHROMATOGRAPHY; GAS;  MICROCHEMISTRY"	NA	"JOURNAL OF FORENSIC SCIENCES"	NA	"Scopus"	"ARTICLE"
1971	"DISTINCTION BETWEEN ANTEMORTEM AND POSTMORTEM WOUNDS: A STUDY OF ELASTIC FIBERS IN HUMAN SKIN."	"FATTEH A"	NA	"ARTICLE;  AUTOPSY;  CADAVER;  CONNECTIVE TISSUE;  ELASTIC TISSUE;  FORENSIC MEDICINE;  HUMAN;  INJURY;  PATHOLOGY;  SKIN;  TIME; AUTOPSY;  POSTMORTEM CHANGES;  TIME FACTORS;  WOUNDS AND INJURIES"	NA	"JOURNAL OF FORENSIC SCIENCES"	NA	"Scopus"	"ARTICLE"
1971	"ZUR BRAUCHBARKEIT DER ELASTISCHEN FASERN DER LUNGE IM RAHMEN DER LEBENSPROBEN"	"PROKOP O"	"ELASTISCHE FASERN; LUNGE;  LEBENSPROBEN;  NEUGEBOREN; LUNGENBEFUND"	"ARTICLE;  ELASTIC TISSUE;  FEMALE;  FETUS DEATH;  FLUORESCENCE MICROSCOPY;  FORENSIC MEDICINE;  HUMAN;  LUNG;  MALE;  NEWBORN;  PATHOLOGY;  PREGNANCY;  PREMATURITY; ELASTIC TISSUE;  FETAL DEATH;  INFANT; NEWBORN; PREMATURE;  MICROSCOPY; FLUORESCENCE"	"10.1007/BF02078962"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"INSTITUT FR GERICHTLICHE MEDIZIN DER, HUMBOLDT-UNIVERSITT, HANNOVERSCHE STRAE 6, BERLIN, DDR-104, GERMANY"	"Scopus"	"ARTICLE"
1972	"AGE-DETERMINATION OF INJURIES OF INTERNAL ORGANS [ALTERSBESTIMMUNG VON VERLETZUNGEN INNERER ORGANE]"	"BENEKE G"	"ALTERSBESTIMMUNG;  ALTERSBESTIMMUNG VON VERLETZUNGEN;  TRAUMATOLOGIE;  VERLETZUNGEN"	"THYMIDINE;  TRITIUM; ADIPOSE TISSUE;  ANIMAL;  AUTORADIOGRAPHY;  BITES AND STINGS;  CADAVER;  CONNECTIVE TISSUE CELL;  FORENSIC MEDICINE;  GRANULATION TISSUE;  INJURY;  KIDNEY;  LIVER;  MITOSIS;  MOUSE;  NECROSIS;  PATHOLOGY;  PUNCTURE;  REVIEW;  TIME;  CONNECTIVE TISSUE CELLS;  MICE;  POSTMORTEM CHANGES;  PUNCTURES;  THYMIDINE;  TIME FACTORS;  WOUNDS AND INJURIES"	"10.1007/BF02080104"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"ABTEILUNG FR PATHOLOGIE II DES ZENTRUMS FR BIOLOGIE, UND THEORETISCHE MEDIZIN DER UNIVERSITT, ULM, D-79, GERMANY;BRD, GERMANY"	"Scopus"	"REVIEW"
1972	"ERFAHRUNGEN MIT EINER MODIFIZIERTEN FREISCHEN FASERPROBE"	"REIMANN W"	"ERHNGEN;  FREISCHE FASERPROBE; ERHNGEN"	"ARTICLE;  CADAVER;  CRIME;  FORENSIC MEDICINE;  HAND;  HUMAN;  MICROSCOPY;  NECK;  SUICIDE;  TECHNIQUE;  TEXTILE; CADAVER;  METHODS;  TEXTILES"	"10.1007/BF02079684"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"INSTITUT FR GERICHTLICHE, MEDIZIN DER MEDIZINISCHEN AKADEMIE 'CARL GUSTAV CARUS' DRESDEN, GERMANY (DEMOCRATIC REPUBLIC, DDR)"	"Scopus"	"ARTICLE"
1972	"FORENSIC APPLICATIONS OF PYROLYSIS GAS CHROMATOGRAPHY"	"WHEALS BB;NOBLE W"	NA	NA	"10.1007/BF02277631"	"CHROMATOGRAPHIA"	"METROPOLITAN POLICE FORENSIC SCIENCE LABORATORY, LONDON, W. C. 1., UNITED KINGDOM"	"Scopus"	"ARTICLE"
1972	"MECHANISCHE EIGENSCHAFTEN LEBENSFRISCHER UND TOTENSTARRER MENSCHLICHER SKELETMUSKELFASERN UND GANZER MUSKELN"	"ZINK P"	NA	"ARTICLE;  CADAVER;  ELASTICITY;  FORENSIC MEDICINE;  HUMAN;  MECHANICAL STRESS;  MUSCLE;  MUSCLE FIBRIL;  PHYSIOLOGY; CADAVER;  MUSCLES;  MYOFIBRILS;  POSTMORTEM CHANGES;  RIGOR MORTIS;  STRESS; MECHANICAL"	"10.1007/BF02116312"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"INSTITUT FR RECHTSMEDIZIN, UNIVERSITTSSTRAE 22, ERLANGEN, D-8520, GERMANY"	"Scopus"	"ARTICLE"
1972	"QUANTITATIVE STUDIES ON THE OCCURRENCE OF TEXTILE FIBRES IN FINGERNAIL DIRT FOLLOWING CONTACT WITH TEXTILE MATERIALS [QUANTITATIVE UNTERSUCHUNGEN BER DAS VORKOMMEN VON TEXTILFASERN M FINGERNAGELSCHMUTZ NACH KONTAKT MIT TEXTILGEWEBE.]"	"SCHAIDT G;MICHEL U"	NA	"ARTICLE;  FINGER;  FORENSIC MEDICINE;  HUMAN;  MICROSCOPY;  NAIL;  TEXTILE; FINGERS;  NAILS;  TEXTILES"	NA	"ARCHIV FUR KRIMINOLOGIE"	NA	"Scopus"	"ARTICLE"
1973	"A SIMPLE PROCEDURE FOR ABO TYPING OF DRIED BLOODSTAINS ON FIBERS BY THE ABSORPTION-ELUTION TECHNIQUE."	"BASHINSKI JS;DAVIS JE"	NA	"ANTISERUM; ABSORPTION;  ARTICLE;  BLOOD GROUP ABO SYSTEM;  BLOOD STAIN;  COTTON;  FILTRATION;  FORENSIC MEDICINE;  HUMAN;  TECHNIQUE; ABO BLOOD-GROUP SYSTEM;  ABSORPTION;  BLOOD STAINS;  GOSSYPIUM;  HUMANS;  IMMUNE SERA;  METHODS"	"10.1016/S0015-7368(73)70800-8"	"JOURNAL - FORENSIC SCIENCE SOCIETY"	NA	"Scopus"	"ARTICLE"
1973	"AN EVALUATION OF TRACE ELEMENT ANALYSIS IN THE FORENSIC INVESTIGATION OF FIBRE SAMPLES"	"BUSH HD;BUTTERWORTH A;PEARSON EF;POUNDS CA"	NA	NA	"10.1007/BF02516575"	"JOURNAL OF RADIOANALYTICAL CHEMISTRY"	"SCHOOL OF POSTGRADUATE STUDIES IN APPLIED PHYSICS, BRADFORD UNIVERSITY, BRADFORD, YORKS, UNITED KINGDOM;HOME OFFICE CENTRAL RESEARCH ESTABLISHMENT, ALDERMASTON, BERKS, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1973	"CRUCIATE PARALYSIS"	"ARSENI C;MARETSIS M"	NA	"BENZODIAZEPINE RECEPTOR STIMULATING AGENT; CERVICAL SPINAL CORD;  DIAGNOSIS;  ETIOLOGY;  FORENSIC MEDICINE;  INJURY;  LEGAL ASPECT;  MAJOR CLINICAL STUDY;  MEDULLA OBLONGATA;  NORMAL HUMAN;  PYRAMIDAL TRACT;  TRAFFIC ACCIDENT; ADULT;  ARM;  AXIS;  BRACHIAL PLEXUS;  CERVICAL VERTEBRAE;  HUMANS;  MALE;  NERVE COMPRESSION SYNDROMES;  PARALYSIS;  SPINAL INJURIES"	NA	"REV.ROUM.NEUROL."	"CLIN. NEUROSURG., BUCHAREST, ROMANIA"	"Scopus"	"ARTICLE"
1973	"EMBOLISM OF CEREBRAL TISSUE TO LUNGS"	"LEVINE SB"	NA	"ARTERY ADVENTITIA;  AUTOPSY;  BILE DUCT;  BRAIN;  BRAIN HEMORRHAGE;  BRAIN LACERATION;  DIAGNOSIS;  EMBOLISM;  FORENSIC MEDICINE;  GUNSHOT INJURY;  HEAD INJURY;  HEPATOMEGALY;  HISTOLOGY;  INJURY;  LEIOMYOMA;  LUNG EMBOLISM;  MESENTERIC VEIN;  PANCREAS DUCT;  PENETRATING TRAUMA;  PORTAL VEIN;  REVIEW;  SMOOTH MUSCLE FIBER;  SPLENOMEGALY;  VEIN;  VEIN WALL; ADULT;  CRANIOCEREBRAL TRAUMA;  FIBRIN;  HUMAN;  LUNG;  MALE;  PULMONARY ARTERY;  PULMONARY EMBOLISM;  WOUNDS; GUNSHOT"	NA	"ARCHIVES OF PATHOLOGY AND LABORATORY MEDICINE"	"DEPT. PATHOL., US ARMY HOSP., SAIGON, VIET NAM"	"Scopus"	"ARTICLE"
1973	"EVIDENCE OF NON-SPECIFICITY OF THE CA CHANNEL IN MAMMALIAN MYOCARDIAL FIBRE MEMBRANES - SUBSTITUTION OF CA BY SR, BA OR MG AS CHARGE CARRIERS"	"KOHLHARDT M;HAASTERT HP;KRAUSE H"	"CA CHANNEL OF THE MEMBRANE;  D 600-INDUCED BLOCKADE OF THE CA CHANNEL;  SLOW INWARD CURRENT;  SR; BA; MG"	"BARIUM;  CALCIUM;  GALLOPAMIL;  HEPTYLTRIMETHYLAMMONIUM;  MAGNESIUM;  STRONTIUM; BIOCHEMISTRY;  CAT;  DRUG COMPARISON;  FORENSIC MEDICINE;  HEART MUSCLE;  HEART MUSCLE CELL;  HEART MUSCLE CONTRACTILITY;  HEART MUSCLE FIBER MEMBRANE;  HEART MUSCLE POTENTIAL;  IN VITRO STUDY;  MEMBRANE PERMEABILITY;  NORMAL HUMAN;  PHARMACOLOGY;  THEORETICAL STUDY;  TRABECULAR MESHWORK; ANIMAL;  BARIUM;  BIOLOGICAL TRANSPORT; ACTIVE;  CATS;  CELL MEMBRANE;  HEART VENTRICLE;  MYOCARDIUM;  VERAPAMIL"	"10.1007/BF00587843"	"PFLGERS ARCHIV EUROPEAN JOURNAL OF PHYSIOLOGY"	"PHYSIOLOGISCHES INSTITUT DER UNIVERSITT, FREIBURG, GERMANY"	"Scopus"	"ARTICLE"
1973	"GASTROSCOPY IN THE OUTPATIENT DEPARTMENT (RUSSIAN)"	"BABICHEV SI;BRISKIN BS;KOMAROVSKY VS;FOMIN VB"	NA	"DIAGNOSIS;  FORENSIC MEDICINE;  GASTROSCOPY;  METHODOLOGY;  STOMACH CARCINOMA;  STOMACH ULCER;  ADULT;  AGED;  ARTICLE;  FEMALE;  FIBER OPTICS;  HUMAN;  MALE;  OUTPATIENT DEPARTMENT;  STOMACH DISEASE;  STOMACH TUMOR; ADULT;  MIDDLE AGE;  OUTPATIENT CLINICS; HOSPITAL;  STOMACH DISEASES;  STOMACH NEOPLASMS"	NA	"KHIRURGIYA"	"KLIN. KHIR. BOL., MED. STOMATOL. INST., MOSCOW"	"Scopus"	"ARTICLE"
1973	"IDENTIFICATION OF SINGLE ASBESTOS FIBRES IN HUMAN TISSUES"	"LANGER AM;POOLEY FD"	NA	"ANTHOPHYLLITE;  ASBESTOS;  ASBESTOS FIBER;  CHRYSOTILE;  CROCIDOLITE;  DIPHENHYDRAMINE;  TREMOLITE;  UNCLASSIFIED DRUG; ASBESTOSIS;  ELECTRON MICROSCOPY;  FORENSIC IDENTIFICATION;  HISTOLOGY;  HUMAN;  METHODOLOGY;  MICROSCOPY;  NORMAL HUMAN;  THEORETICAL STUDY;  TISSUE"	NA	"IARC (INTERNATIONAL AGENCY FOR RESEARCH ON CANCER) SCIENTIFIC PUBLICATIONS"	"ENVIRONM. SCI. LAB., MT SINAI SCH. MED., NEW YORK, N.Y., UNITED KINGDOM"	"Scopus"	"ARTICLE"
1973	"MERITS AND DEMERITS OF FORENSIC ACTIVATION ANALYSIS WHEN COMPARED TO OTHER TRACE ANALYSIS METHODS"	"KRISHNAN SS"	NA	NA	"10.1007/BF02516568"	"JOURNAL OF RADIOANALYTICAL CHEMISTRY"	"THE CENTRE OF FORENSIC SCIENCES, 8 JARVIS STREET, TORONTO, 220, ONTARIO, CANADA"	"Scopus"	"ARTICLE"
1973	"PHYSIOLOGISCHE UND MORPHOLOGISCHE UNTERSUCHUNGEN ZU MECHANISMUS UND VERLAUF DER TOTENSTARRE"	"KRAUSE D;ZETT L"	"\"CALCIUMANKOPPLUNGSTHEORIE\";  RIGOR MORTIS;  TOTENSTARRE; MAXIMALE SPANNUNGSENTWICKLUNG"	"ADENOSINE TRIPHOSPHATE;  CALCIUM; CADAVER;  CELL MEMBRANE;  ELECTRON MICROSCOPY;  ETIOLOGY;  FATALITY;  FORENSIC MEDICINE;  MUSCLE;  MUSCLE CELL;  MUSCLE CONTRACTION;  MUSCLE FIBER MEMBRANE POTENTIAL;  MUSCLE SPASM;  MYOSIN FILAMENT;  RAT;  THEORETICAL STUDY; ADENOSINE TRIPHOSPHATE;  ANIMAL;  AUTOLYSIS;  ENDOPLASMIC RETICULUM;  MECHANORECEPTORS;  MEMBRANE POTENTIALS;  MICROSCOPY; ELECTRON;  MITOCHONDRIA; MUSCLE;  MUSCLES;  MYOFIBRILS;  POSTMORTEM CHANGES;  POTASSIUM;  RATS;  RIGOR MORTIS;  SODIUM;  TIME FACTORS"	"10.1007/BF02114882"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"INSTITUT FR GERICHTLICHE MEDIZIN DER, MEDIZINISCHEN AKADEMIE 'CARL GUSTAV CARUS', DRESDEN, GERMANY;CARL LUDWIG-INSTITUT FR PHYSIOLOGIE DER, KARL MARX-UNIVERSITT, LEIPZIG, GERMANY (DEMOCRATIC REPUBLIC, DDR)"	"Scopus"	"ARTICLE"
1973	"PULMONARY ARTERIAL ABNORMALITIES IN THE SUDDEN-INFANT-DEATH SYNDROME"	"NAEYE RL"	NA	"ALTITUDE;  AUTOPSY;  CHILD;  DIAGNOSIS;  FATALITY;  FORENSIC MEDICINE;  HISTOLOGY;  HYPERPLASIA;  HYPERTROPHY;  HYPOXIA;  LUNG ALVEOLUS HYPOXIA;  LUNG ARTERY;  MUSCLE;  PULMONARY ARTERY MALFORMATION;  SMOOTH MUSCLE FIBER;  SUDDEN DEATH"	"10.1056/NEJM197311292892204"	"NEW ENGLAND JOURNAL OF MEDICINE"	"DEPARTMENT OF PATHOLOGY, M. S. HERSHEY MEDICAL CENTER, PENNSYLVANIA STATE UNIVERSITY, COLLEGE OF MEDICINE, HERSHEY, PA. 17033, UNITED STATES"	"Scopus"	"ARTICLE"
1973	"SCANNING ELECTRON MICROSCOPY IN FORENSIC SCIENCE"	"TAYLOR ME"	NA	"METAL;  PAINT; DIAGNOSIS;  ELECTRON MICROSCOPY;  FORENSIC MEDICINE;  FORENSIC SCIENCE;  HAIR;  METHODOLOGY;  REVIEW;  SCANNING ELECTRON MICROSCOPY;  THEORETICAL STUDY; CRIME;  METALS;  MICROSCOPY; ELECTRON; SCANNING;  RADIATION;  WOOD"	"10.1016/S0015-7368(73)70825-2"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WEST MIDLAND FORENSIC SCIENCE LABORATORY, PRIORY HOUSE, GOOCH STREET NORTH, BIRMINGHAM, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1973	"STUDY ON THE EFFECT OF LIORESAL ( (4 CHLOROPHENYL)AMINOBUTYRIC ACID) ON SPASTIC CONDITIONS [ETUDE DE L'EFFET DU (R) LIORESAL DANS LA SPASTICITE]"	"CASTAIGNE P;HELD JP;LAPLANE D"	NA	"INSECTICIDE;  MERCUROUS CHLORIDE;  MERCURY;  METHYLMERCURY DERIVATIVE;  AMINOBUTYRIC ACID DERIVATIVE;  CENTRAL MUSCLE RELAXANT;  CHOLINERGIC RECEPTOR BLOCKING AGENT; ACRODYNIA;  AUTOPSY;  CELL DEGENERATION;  CENTRAL NERVOUS SYSTEM;  CEREBELLUM;  CEREBELLUM GRANULAR LAYER;  DEGENERATION;  DEMYELINATION;  ELECTRON MICROSCOPY;  FORENSIC MEDICINE;  GLIOSIS;  HISTOLOGY;  INTOXICATION;  MAJOR CLINICAL STUDY;  MINAMATA DISEASE;  NERVE CELL;  PURKINJE CELL;  RAT;  THEORETICAL STUDY;  ADULT;  AGED;  ARTICLE;  BRAIN DISEASE;  ELECTROMYOGRAPHY;  FEMALE;  HEMIPLEGIA;  HUMAN;  MALE;  MEDULLA OBLONGATA;  MONOSYNAPTIC REFLEX;  MULTIPLE SCLEROSIS;  MUSCLE SPASM;  ORAL DRUG ADMINISTRATION;  PATHOPHYSIOLOGY;  PRESSURE; ADMINISTRATION; ORAL;  AMINOBUTYRIC ACIDS;  BRAIN DISEASES;  MIDDLE AGE;  MUSCLE RELAXANTS; CENTRAL;  PARASYMPATHOLYTICS;  REFLEX; MONOSYNAPTIC;  SPASM"	NA	"REVUE NEUROLOGIQUE"	"CLIN. MAL. SYST. NERV., HOP. SALPETRIERE, PARIS, FRANCE"	"Scopus"	"ARTICLE"
1973	"THE BIOLOGICAL SECTION OF AN M.SC. COURSE IN FORENSIC SCIENCE"	"NELSON PF;WOOD CN"	NA	"BIOLOGY;  BLOOD;  FECES;  FORENSIC MEDICINE;  FORENSIC SCIENCE;  IMMUNODIFFUSION;  IMMUNOELECTROPHORESIS;  LEGAL ASPECT;  MEDICAL EDUCATION;  METHODOLOGY;  SALIVA;  SPERM;  URINE"	"10.1016/S0015-7368(73)70823-9"	"J.FORENSIC SCI.SOC."	"DIV. PHARMACOGNOSY FORENS. SCI., DEPT. PHARMACEUT. CHEM., UNIV. STRATHCLYDE, GLASGOW, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1973	"THE MYOCARDIAL CONDUCTION SYSTEM IN SUDDEN DEATH IN INFANCY"	"VALDES-DAPENA MA;GREENE M;BASAVANAND N;CATHERMAN R;TRUEX RC"	NA	"COLLAGEN FIBER; AUTOPSY;  CHILD;  ELASTIC FIBER;  FATALITY;  FORENSIC MEDICINE;  HEART MUSCLE CONDUCTION SYSTEM;  HISTOLOGY;  PETECHIA;  SUDDEN DEATH"	"10.1056/NEJM197311292892207"	"NEW ENGLAND JOURNAL OF MEDICINE"	"DEPARTMENTS OF PEDIATRICS, PATHOLOGY AND ANATOMY, ST. CHRISTOPHER'S HOSPITAL FOR CHILDREN TEMPLE, UNIVERSITY SCHOOL OF MEDICINE AND THE DIVISION OF THE MEDICAL EXAMINER, DEPARTMENT OF PUBLIC HEALTH, UNITED STATES"	"Scopus"	"ARTICLE"
1973	"TRACE ELEMENT DISTRIBUTIONS IN MAN-MADE FIBERS"	"VOGT JR;HASHII DM"	NA	NA	"10.1007/BF02516582"	"JOURNAL OF RADIOANALYTICAL CHEMISTRY"	"DEPARTMENT OF NUCLEAR ENGINEERING, UNIVERSITY OF MISSOURI, COLUMBIA, MISSOURI, UNITED STATES"	"Scopus"	"ARTICLE"
1974	"APPROACHES AND CONSTRAINTS TO IDENTIFICATION AND QUANTITATION OF ASBESTOS FIBERS"	"LANGER AM"	NA	"ANTHOPHYLLITE;  ASBESTOS FIBER;  CHRYSOTILE;  CROCIDOLITE;  DIPHENHYDRAMINE;  TREMOLITE;  UNCLASSIFIED DRUG;  ASBESTOS; FORENSIC IDENTIFICATION;  HISTOLOGY;  METHODOLOGY;  AIR POLLUTANT;  ARTICLE;  ELECTRON MICROSCOPY;  MICROSCOPY;  SPECTROPHOTOMETRY;  WATER POLLUTANT;  X RAY DIFFRACTION; AIR POLLUTANTS; ELECTRON;  SUPPORT; U.S. GOV'T; P.H.S.;  WATER POLLUTANTS; CHEMICAL;  X-RAY DIFFRACTION"	"10.1289/ehp.749133"	"ENVIRONMENTAL HEALTH PERSPECTIVES"	"MT SINAI SCH. MED., CITY UNIV. NEW YORK, N.Y. 10029, UNITED STATES"	"Scopus"	"ARTICLE"
1974	"DELAYED AORTIC RUPTURE - HISTOMORPHOLOGY AND INTERPRETATION [ZUR HISTOMORPHOLOGIE UND BEGUTACHTUNG ZWEIZEITIGER AORTENRUPTUREN]"	"BRINKMANN B"	NA	"ACID GLYCOSAMINOGLYCAN; AORTA INJURY;  AORTA RUPTURE;  AORTA WALL;  ATHEROSCLEROSIS;  AUTOPSY;  BLUNT TRAUMA;  CARDIOLOGY;  CONTUSION;  ELASTIC FIBER;  FATALITY;  FORENSIC MEDICINE;  INJURY;  ISCHEMIA;  LEGAL ASPECT;  NECROSIS;  THORAX;  THORAX WALL TRAUMA;  TRAFFIC ACCIDENT; ACCIDENTS; TRAFFIC;  ADULT;  AGED;  AORTA;  AORTIC RUPTURE;  ARTERIOSCLEROSIS;  BIOMECHANICS;  ENGLISH ABSTRACT;  FEMALE;  HEMORRHAGE;  HISTOCYTOCHEMISTRY;  HUMAN;  MALE;  MICROCIRCULATION;  THORACIC INJURIES;  TIME FACTORS"	"10.1007/BF00200593"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"INSTITUT FR GERICHTLICHE MEDIZIN UND KRIMINALISTIK DER UNIVERSITT HAMBURG, GERMANY"	"Scopus"	"ARTICLE"
1974	"EXPERIMENTAL STUDIES ON THE RISE AND FALL OF THE AMOUNT OF MUSCLE CREATINE PHOSPHATE IN THE TONIC CRAMP STAGE OF ASPHYXIA AND AT SEVERAL POSTMORTEM INTERVALS (JAPANESE)"	"IGARASHI N"	NA	"CREATINE PHOSPHATE;  CYANIC ACID;  CYANIDE;  LACTIC ACID; ASPHYXIA;  BLOOD CLOTTING;  CADAVER;  DROWNING;  DRUG ANALYSIS;  DRUG INTOXICATION;  FORENSIC MEDICINE;  FREEZING;  HEAT;  HYPOXIA;  INJURY;  INTOXICATION;  METHODOLOGY;  MUSCLE;  MUSCLE SPASM;  RESPIRATORY FAILURE;  STRANGULATION;  THEORETICAL STUDY;  TRACHEA OBSTRUCTION"	NA	"JOURNAL OF TOKYO MEDICAL COLLEGE"	"DEPT. FORENS. MED., TOKYO MED. COLL., TOKYO, JAPAN"	"Scopus"	"ARTICLE"
