"PY"	"TI"	"AU"	"DEW"	"IDW"	"DES"	"IDS"	"DT"	"C1W"	"C1S"	"SO"	"Coder"	"DOI"	"DE"
2006	"17TH ANNUAL BCC CONFERENCE ON RECENT ADVANCES IN FLAME RETARDANCY OF POLYMERIC MATERIALS 2006"	"NA NA"	""	""	""	""	"CONFERENCE MATERIAL"	""	""	"17TH CONFERENCE ON RECENT ADVANCES IN FLAME RETARDANCY OF POLYMERIC MATERIALS 2006 - \"APPLICATIONS, RESEARCH AND INDUSTRIAL DEVELOPMENT, MARKETS\""	"Scopus"	""	""
2013	"2012 2ND INTERNATIONAL CONFERENCE ON MANAGEMENT, MANUFACTURING AND MATERIALS ENGINEERING, ICMMM 2012"	"NA NA"	""	""	""	""	"CONFERENCE MATERIAL"	""	""	"ADVANCED MATERIALS RESEARCH"	"Scopus"	""	""
2016	"2016 IEEE SYMPOSIUM ON TECHNOLOGIES FOR HOMELAND SECURITY, HST 2016"	"NA NA"	""	""	""	""	"CONFERENCE MATERIAL"	""	""	"2016 IEEE SYMPOSIUM ON TECHNOLOGIES FOR HOMELAND SECURITY, HST 2016"	"Scopus"	""	""
2002	"3D VIEW ON THE `CROSSING LINES' PROBLEM IN DOCUMENT INVESTIGATION"	"BERX V;DE KINDER J"	"FORENSICS; QUESTIONED DOCUMENTS; LASER PROFILOMETRY; TOPOGRAPHY; CROSSING LINES; WRITING SEQUENCE"	""	""	""	"PROCEEDINGS PAPER"	"BERX, V (CORRESPONDING AUTHOR), NICC, INCC, VILVOORDSESTEENWEG 98-100, B-1120 BRUSSELS, BELGIUM; NICC, INCC, B-1120 BRUSSELS, BELGIUM"	""	"INVESTIGATIVE IMAGE PROCESSING II"	"WebOfScience"	"10.1117/12.474731"	"FORENSICS; QUESTIONED DOCUMENTS; LASER PROFILOMETRY; TOPOGRAPHY; CROSSING LINES; WRITING SEQUENCE"
2006	"4TH EUROPEAN ACADEMY OF FORENSIC SCIENCE CONFERENCE [4. KONFERENCJA EUROPEJSKIEJ AKADEMII NAUK SADOWYCH]"	"BIAEK I;BRANICKI W;CZUBAK A;WAS-GUBALA J;ZADORA G;ZBALA J;ZIBA-PALUS J;ZUBA D"	""	""	""	"GLASS FIBER; ACADEMIC ACHIEVEMENT;  CONFERENCE PAPER;  DRUG SCREENING;  EUROPEAN UNION;  EXAMINATION;  EXPLOSION;  FIBER;  FINGER DERMATOGLYPHICS;  FLAMMABILITY;  FORENSIC MEDICINE;  FORENSIC SCIENCE;  GENETICS;  MEDICAL RESEARCH;  MEDICINE;  ORGANIZATIONAL DEVELOPMENT;  PHYSICAL ANTHROPOLOGY;  PROGRAM DEVELOPMENT;  RAMAN SPECTROMETRY;  STRUCTURE ANALYSIS;  TRAFFIC ACCIDENT"	"CONFERENCE MATERIAL"	""	""	"Z ZAGADNIEN NAUK SADOWYCH"	"Scopus"	""	""
2019	"4TH INTERNATIONAL CONFERENCE ON ENERGY, ENVIRONMENT, EPIDEMIOLOGY AND INFORMATION SYSTEM, ICENIS 2019"	"NA NA"	""	""	""	""	"CONFERENCE MATERIAL"	""	""	"E3S WEB OF CONFERENCES"	"Scopus"	""	""
2019	"5TH INTERNATIONAL CONFERENCE ON FUTURE NETWORK SYSTEMS AND SECURITY, FNSS 2019"	"NA NA"	""	""	""	""	"CONFERENCE MATERIAL"	""	""	"COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE"	"Scopus"	""	""
2010	"7TH INTERNATIONAL SYMPOSIUM ON HIGH-CAPACITY OPTICAL NETWORKS AND ENABLING TECHNOLOGIES, HONET 2010"	"NA NA"	""	""	""	""	"CONFERENCE MATERIAL"	""	""	"7TH INTERNATIONAL SYMPOSIUM ON HIGH-CAPACITY OPTICAL NETWORKS AND ENABLING TECHNOLOGIES, HONET 2010"	"Scopus"	""	""
1999	"7TH MEETING OF THE EUROPEAN FIBRES GROUP, ZURICH (SWITZERLAND), 9-11 JUNE, 1999 [7 ZJAZD EUROPEJSKIEJ GRUPY ROBOCZEJ DS. WLOKIEN, ZURYCH (SZWAJCARIA), 9- 11 CZERWCA 1999 ROKU]"	"WAS-GUBALA J"	""	""	""	"ANALYTICAL EQUIPMENT;  CONFERENCE PAPER;  FIBER;  FORENSIC IDENTIFICATION;  LABORATORY TEST;  RESEARCH;  SYMPOSIUM"	"CONFERENCE MATERIAL"	""	""	"Z ZAGADNIEN NAUK SADOWYCH"	"Scopus"	""	""
2004	"9649 FORENSIC WEB WATCH - DNA IN FORENSIC SCIENCE"	"BOWYER VL;GRAHAM EAM;RUTTY GN"	""	""	"DNA;  INTERNET;  PROFILING;  STR"	"DNA; ARTICLE;  DNA DETERMINATION;  FORENSIC MEDICINE;  INTERNET;  OFFENDER;  PRACTICE GUIDELINE;  PUBLICATION;  SHORT TANDEM REPEAT;  VICTIM; DNA FINGERPRINTING;  DNA; MITOCHONDRIAL;  GREAT BRITAIN;  HISTORY; 20TH CENTURY;  HUMANS;  TANDEM REPEAT SEQUENCES"	"ARTICLE"	""	"FORENSIC PATHOLOY UNIT, DEPT. OF CAN. STUDIES/MOLEC. PATHOL., UNIVERSITY OF LEICESTER, R. KILPATRICK BUILDING, LEICESTER LE2 7LX, UNITED KINGDOM"	"JOURNAL OF CLINICAL FORENSIC MEDICINE"	"Scopus"	"10.1016/j.jcfm.2004.07.002"	"DNA;  INTERNET;  PROFILING;  STR"
2002	"A 3D VIEW ON THE `CROSSING LINES' PROBLEM IN DOCUMENT INVESTIGATION"	"BERX V;DE KINDER J"	""	""	"CROSSING LINES;  FORENSICS;  LASER PROFILOMETRY;  QUESTIONED DOCUMENTS;  TOPOGRAPHY;  WRITING SEQUENCE"	"ATOMIC FORCE MICROSCOPY;  PROFILOMETRY;  SCANNING ELECTRON MICROSCOPY;  SENSORS; LASER PROFILOMETRY; INFORMATION RETRIEVAL SYSTEMS"	"ARTICLE"	""	"NATIONAAL INSTITUUT VOOR CRIMINALISTIEK EN CRIMINOLOGIE (NICC/INCC), VILVOORDSESTEENWEG 98/100, B-1120 BRUSSELS, BELGIUM"	"PROCEEDINGS OF SPIE-THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	"Scopus"	"10.1117/12.474731"	"CROSSING LINES;  FORENSICS;  LASER PROFILOMETRY;  QUESTIONED DOCUMENTS;  TOPOGRAPHY;  WRITING SEQUENCE"
2009	"A CANNABIS SATIVA STR GENOTYPE DATABASE FOR AUSTRALIAN SEIZURES: FORENSIC APPLICATIONS AND LIMITATIONS"	"HOWARD C;GILMORE S;ROBERTSON J;PEAKALL R"	"FORENSIC SCIENCE; DNA TYPING; CANNABIS SATIVA; SHORT TANDEM REPEAT; GENOTYPE DATABASE; ANUCS301; ANUCS302; ANUCS303; ANUCS304; ANUCS305; ANUCS501; B01-CANN1; B05-CANN1; B02-CANN2; C11-CANN1"	"MARKER-ASSISTED SELECTION; MICROSATELLITE MARKERS; DNA EVIDENCE;; MARIJUANA; IDENTIFICATION; RELATEDNESS; PRODUCTS; GENETICS; IDENTITY;; BOTANY"	"ANUCS301;  ANUCS302;  ANUCS303;  ANUCS304;  ANUCS305;  ANUCS501;  B01-CANN1;  B02-CANN2;  B05-CANN1;  C11-CANN1;  CANNABIS SATIVA;  DNA TYPING;  FORENSIC SCIENCE;  GENOTYPE DATABASE;  SHORT TANDEM REPEAT"	"CANNABIS; ALLELE;  ARTICLE;  AUSTRALIA;  GENETIC ANALYSIS;  GENETIC DATABASE;  GENETIC VARIABILITY;  GENOTYPE;  NONHUMAN;  PHYSICAL ANTHROPOLOGY;  PRIORITY JOURNAL;  SEIZURE;  TANDEM REPEAT;  VALIDATION STUDY; AUSTRALIA;  CANNABIS;  DATABASES; FACTUAL;  DNA; PLANT;  DRUG AND NARCOTIC CONTROL;  GENE FREQUENCY;  GENETIC VARIATION;  HUMANS;  MODELS; STATISTICAL;  POLYMERASE CHAIN REACTION;  TANDEM REPEAT SEQUENCES"	"ARTICLE"	"PEAKALL, R (CORRESPONDING AUTHOR), AUSTRALIAN NATL UNIV, SCH BOT \& ZOOL, GPO BOX 4, CANBERRA, ACT 0200, AUSTRALIA; HOWARD, CHRISTOPHER; PEAKALL, ROD, AUSTRALIAN NATL UNIV, SCH BOT \& ZOOL, CANBERRA, ACT 0200, AUSTRALIA; GILMORE, SIMON, CANBERRA INST TECHNOL, CTR FORENS SCI, CANBERRA, ACT 2601, AUSTRALIA; ROBERTSON, JAMES, AUSTRALIAN FED POLICE, FORENS \& TECH, CANBERRA, ACT 2601, AUSTRALIA"	"SCHOOL OF BOTANY AND ZOOLOGY, AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, ACT 0200, AUSTRALIA;CENTRE FOR FORENSIC SCIENCE, CANBERRA INSTITUTE OF TECHNOLOGY, GPO BOX 826, CANBERRA, ACT 2601, AUSTRALIA;FORENSIC AND TECHNICAL, AUSTRALIAN FEDERAL POLICE, GPO BOX 401, CANBERRA, ACT 2601, AUSTRALIA"	"JOURNAL OF FORENSIC SCIENCES"	"Scopus,WebOfScience"	"10.1111/j.1556-4029.2009.01014.x"	"FORENSIC SCIENCE; DNA TYPING; CANNABIS SATIVA; SHORT TANDEM REPEAT; GENOTYPE DATABASE; ANUCS301; ANUCS302; ANUCS303; ANUCS304; ANUCS305; ANUCS501; B01-CANN1; B05-CANN1; B02-CANN2; C11-CANN1; ANUCS301;  ANUCS302;  ANUCS303;  ANUCS304;  ANUCS305;  ANUCS501;  B01-CANN1;  B02-CANN2;  B05-CANN1;  C11-CANN1;  CANNABIS SATIVA;  DNA TYPING;  FORENSIC SCIENCE;  GENOTYPE DATABASE;  SHORT TANDEM REPEAT"
2013	"A CAPILLARY-BASED PROBE FOR IN SITU DETECTION OF ENHANCED FLUORESCENCE SIGNALS"	"LONG F;XIAO R;ZHU AN;SHI HC;WANG SQ"	""	"LASER-INDUCED FLUORESCENCE"	""	""	"ARTICLE"	"LONG, F (CORRESPONDING AUTHOR), RENMIN UNIV CHINA, SCH ENVIRONM \& NAT RESOURCES, 59 ZHONGGUANCUN, BEIJING 100872, PEOPLES R CHINA; LONG, F, RENMIN UNIV CHINA, SCH ENVIRONM \& NAT RESOURCES, BEIJING 100872, PEOPLES R CHINA; XIAO, R; WANG, S Q, BEIJING INST RADIAT MED, BEIJING 100850, PEOPLES R CHINA; ZHU, A N; SHI, H C, TSINGHUA UNIV, SCH ENVIRONM, BEIJING 100084, PEOPLES R CHINA"	"SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES, RENMIN UNIVERSITY OF CHINA, NO. 59, ZHONGGUANCUN, HAIDIAN, BEIJING 100872, CHINA;BEIJING INSTITUTE OF RADIATION MEDICINE, BEIJING 100850, CHINA;SCHOOL OF ENVIRONMENT, TSINGHUA UNIVERSITY, NO. 1, TSINGHUA YUAN, HAIDIAN, BEIJING 100084, CHINA"	"LASER PHYSICS LETTERS"	"Scopus,WebOfScience"	"10.1088/1612-2011/10/7/075608"	""
1999	"A CASE OF BEHEADING: CRIME OR ACCIDENT?"	"GROZA IL;ZAVOI R;STANCA L;MITROI G"	""	""	"ACCIDENT;  BEHEADING;  CRIME;  ELASTIC FIBERS"	"ALCOHOL;  COLLAGEN FIBER; ACCIDENT;  AGED;  ALCOHOL BLOOD LEVEL;  ARTICLE;  AUTOPSY;  CASE REPORT;  CRIME;  ELASTIC FIBER;  FORENSIC MEDICINE;  HISTOPATHOLOGY;  HUMAN;  MALE"	"ARTICLE"	""	"UNIV. OF MEDICINE/PHARMACY CRAIOVA, STR. V. ALECSANDRI, 18, 1100 CRAIOVA, ROMANIA"	"ROMANIAN JOURNAL OF LEGAL MEDICINE"	"Scopus"	""	"ACCIDENT;  BEHEADING;  CRIME;  ELASTIC FIBERS"
2015	"A CASE OF CONTESTED CREMAINS ANALYZED THROUGH METRIC AND CHEMICAL COMPARISON"	"BARTELINK EJ;SHOLTS SB;MILLIGAN CF;VAN DEEST TL;WRMLNDER SKTS;BARTELINK EJ;SHOLTS SB;MILLIGAN TL;WARMLANDER SKTS"	"FORENSIC SCIENCE; FORENSIC ANTHROPOLOGY; CREMAINS; BURNED BONE; X-RAY; DIFFRACTION; SCANNING ELECTRON MICROSCOPY"	"ELECTRON-MICROSCOPE OBSERVATIONS; X-RAY-DIFFRACTION; ELEMENTAL ANALYSIS;; CLASSIFY LEGITIMATE; ICP-OES; BONE; IDENTIFICATION; SPECTROSCOPY"	"BURNED BONE;  CREMAINS;  FORENSIC ANTHROPOLOGY;  FORENSIC SCIENCE;  SCANNING ELECTRON MICROSCOPY;  X-RAY DIFFRACTION"	"ELEMENT; ANALYSIS;  BUILDING MATERIAL;  CASE REPORT;  FORENSIC SCIENCE;  FRAUD;  HUMAN;  MALE;  METRIC SYSTEM;  MIDDLE AGED;  POSTHUMOUS CARE;  SCANNING ELECTRON MICROSCOPY;  X RAY DIFFRACTION; CONSTRUCTION MATERIALS;  CREMATION;  ELEMENTS;  FORENSIC SCIENCES;  HUMANS;  MICROSCOPY; ELECTRON; SCANNING;  X-RAY DIFFRACTION"	"ARTICLE"	"WARMLANDER, SKTS (CORRESPONDING AUTHOR), STOCKHOLM UNIV, DEPT BIOCHEM \& BIOPHYS, S-10691 STOCKHOLM, SWEDEN; BARTELINK, ERIC J; MILLIGAN, COLLEEN F, CALIF STATE UNIV CHICO, HUMAN IDENTIFICAT LAB, DEPT ANTHROPOL, CHICO, CA 95929 USA; SHOLTS, SABRINA B, SMITHSONIAN INST, NATL MUSEUM NAT HIST, DEPT ANTHROPOL, WASHINGTON, DC 20560 USA; VAN DEEST, TRACI L, UNIV FLORIDA, DEPT ANTHROPOL, CA POUND HUMAN IDENTIFICAT LAB, GAINESVILLE, FL 32611 USA; WARMLANDER, SEBASTIAN K T S, STOCKHOLM UNIV, DEPT BIOCHEM \& BIOPHYS, S-10691 STOCKHOLM, SWEDEN; WARMLANDER, SEBASTIAN K T S, LINKOPING UNIV, DIV COMMERCIAL \& BUSINESS LAW, S-58183 LINKOPING, SWEDEN"	"HUMAN IDENTIFICATION LABORATORY, DEPARTMENT OF ANTHROPOLOGY, CALIFORNIA STATE UNIVERSITY-CHICO, CHICO, CA, UNITED STATES;DEPARTMENT OF ANTHROPOLOGY, NATIONAL MUSEUM OF NATURAL HISTORY, SMITHSONIAN INSTITUTION, WASHINGTON, DC, UNITED STATES;DEPARTMENT OF ANTHROPOLOGY, C.A. POUND HUMAN IDENTIFICATION LAB, UNIVERSITY OF FLORIDA, GAINESVILLE, FL, UNITED STATES;DEPARTMENT OF BIOCHEMISTRY AND BIOPHYSICS, STOCKHOLM UNIVERSITY, STOCKHOLM, 106 91, SWEDEN;DIVISION OF COMMERCIAL AND BUSINESS LAW, LINKPING UNIVERSITY, LINKPING, 581 83, SWEDEN"	"JOURNAL OF FORENSIC SCIENCES"	"Scopus,WebOfScience"	"10.1111/1556-4029.12734"	"FORENSIC SCIENCE; FORENSIC ANTHROPOLOGY; CREMAINS; BURNED BONE; X-RAY; DIFFRACTION; SCANNING ELECTRON MICROSCOPY; BURNED BONE;  CREMAINS;  FORENSIC ANTHROPOLOGY;  FORENSIC SCIENCE;  SCANNING ELECTRON MICROSCOPY;  X-RAY DIFFRACTION"
