"Authors"	"Title"	"Year"	"AKeywords"	"Source.title"	"DOI"	"Document.Type"	"Link"	"Coder"
"HEIDER EC; MUJUMDAR N; CAMPIGLIA AD"	"Identification of detergents for forensic fiber analysis"	2016	"Detergent analysis; Fluorescence microscopy; Forensic fibers; Principal component analysis"	"Analytical and Bioanalytical Chemistry"	"10.1007/s00216-016-9927-8"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988422292&doi=10.1007%2fs00216-016-9927-8&partnerID=40&md5=742cab8b053d5aee7be9005afb65ec1e"	2019
"SULTANA N; GUNNING S; FURST SJ; GARRARD KP; DOW TA; VINUEZA NR"	"Direct analysis of textile dyes from trace fibers by automated microfluidics extraction system coupled with Q-TOF mass spectrometer for forensic applications"	2018	"Dyes; Mass spectrometry; Microfluidics; Quadrupole-time-of-flight; Textile fibers; Trace evidence"	"Forensic Science International"	"10.1016/j.forsciint.2018.05.020"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047638919&doi=10.1016%2fj.forsciint.2018.05.020&partnerID=40&md5=f47ab278b2cfd28818ff48a52de507f2"	2019
"MACPHEE N; SAVAGE A; NOTON N; BEATTIE E; MILNE L; FRASER J"	"A comparison of penetration and damage caused by different types of arrowheads on loose and tight fit clothing"	2018	"Arrow; Bones; Clothing; Damage; Penetration; Tissues"	"Science and Justice"	"10.1016/j.scijus.2017.11.005"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035351282&doi=10.1016%2fj.scijus.2017.11.005&partnerID=40&md5=b99b5ed7f31f38963c0ace1d6b7363b5"	2019
"UELAND M; HOWES JM; FORBES SL; STUART BH"	"Degradation patterns of natural and synthetic textiles on a soil surface during summer and winter seasons studied using ATR-FTIR spectroscopy"	2017	"Cotton; Forensic; Infrared spectroscopy; Polyester; Principal component analysis; Textile"	"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy"	"10.1016/j.saa.2017.05.044"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019637320&doi=10.1016%2fj.saa.2017.05.044&partnerID=40&md5=5c8a464342d8e3c1b3c5a2441b0860d9"	2019
"SCHNEGG M; TURCHANY M; DEVITERNE M; GUEISSAZ L; HESS S; MASSONNET G"	"A preliminary investigation of textile fibers in smothering scenarios and alternative legitimate activities"	2017	"1:1 taping; Fiber distribution; Fiber transfer; Forensic interpretation; Trace evidence"	"Forensic Science International"	"10.1016/j.forsciint.2017.08.020"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028690366&doi=10.1016%2fj.forsciint.2017.08.020&partnerID=40&md5=fa822d5fd12edada5accd9c658432137"	2019
"FORSTER AL; BITTER JL; ROSENTHAL S; BROOKS S; WATSON SS"	"Photofading in cotton fibers dyed using red, yellow, and blue direct dyes during examination with microspectrophotometry (MSP)"	2017	"Fiber; Microspectrophotometry; Photofading"	"Forensic Chemistry"	"10.1016/j.forc.2017.06.006"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022095063&doi=10.1016%2fj.forc.2017.06.006&partnerID=40&md5=bec6625a73130433ee13157985859c9e"	2019
"SLOT A; VAN DER WEERD J; ROOS M; BAIKER M; STOEL RD; ZUIDBERG MC"	"Tracers as invisible evidence — The transfer and persistence of flock fibres during a car exchange"	2017	"Car upholstery; Flock fibers; Forensic tracer; Persistence; Transfer; Trousers"	"Forensic Science International"	"10.1016/j.forsciint.2017.03.005"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017176021&doi=10.1016%2fj.forsciint.2017.03.005&partnerID=40&md5=ea3d8ab558095f1869a1bcc43bead59c"	2019
"SCHWENDENER G; MORET S; CAVANAGH-STEER K; ROUX C"	"Can “contamination” occur in body bags?—The example of background fibres in body bags used in Australia"	2016	"Consumables; Crime scene; Impurities; Pollution; Trace evidence"	"Forensic Science International"	"10.1016/j.forsciint.2016.07.012"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979774615&doi=10.1016%2fj.forsciint.2016.07.012&partnerID=40&md5=258eb3233a9b014356d692c5592a61ae"	2019
"CARR DJ; FEATHERSTONE M; MALBON C; MILLER D; TEAGLE M"	"Preliminary development of a bleeding layer to assess the effect of a ballistic impact on textile damage"	2018	"Blood; Bullet wipe; Forensic reconstruction; Pistol ammunition; Single jersey knit; Swine tissue"	"Forensic Science International"	"10.1016/j.forsciint.2018.04.031"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046756005&doi=10.1016%2fj.forsciint.2018.04.031&partnerID=40&md5=265b5ac082bdb3ea1a8313a8ae358357"	2019
"SCHNEGG M; PALMER R; MASSONNET G"	"Les paramètres clés de l'interprétation des fibres textiles en sciences criminelles. Partie I: Occurrence et bruit de fond"	2018	"fibres textiles; Interprétation bayésienne; rapport de vraisemblance; étude de bloc de couleur; étude de fibre cible; étude de marché; étude de population"	"Journal of the Canadian Society of Forensic Science"	"10.1080/00085030.2017.1379683"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030534777&doi=10.1080%2f00085030.2017.1379683&partnerID=40&md5=4cfdd5f992acf44ad39dcd864b7b604d"	2019
"BERGER CEH; STOEL RD"	"Response to “A study of the perception of verbal expressions of the strength of evidence”"	2018	NA	"Science and Justice"	"10.1016/j.scijus.2017.11.007"	"Letter"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040445048&doi=10.1016%2fj.scijus.2017.11.007&partnerID=40&md5=4895208919cd91c711133386b1f9943e"	2019
"COMANESCU MA; MUEHLETHALER C; LOMBARDI JR; LEONA M; KUBIC TA"	"Competitive Binding Investigations and Quantitation in Surface-Enhanced Raman Spectra of Binary Dye Mixtures"	2018	"alizarin; dye mixtures; nanoparticles; purpurin; quantitation; Raman; SERS; silver colloids; Surface-enhanced Raman spectroscopy"	"Applied Spectroscopy"	"10.1177/0003702817723339"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039900745&doi=10.1177%2f0003702817723339&partnerID=40&md5=e65486f988132a87ce30c49ad2536e44"	2019
"CARR DJ"	"Forensic Textile Science"	2017	NA	"Forensic Textile Science"	"10.1016/C2015-0-01104-2"	"Book"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053747936&doi=10.1016%2fC2015-0-01104-2&partnerID=40&md5=75a7ace2e9bdeca8b70d26c1460e36a5"	2019
"HOUCK M"	"Materials Analysis in Forensic Science"	2016	NA	"Materials Analysis in Forensic Science"	NA	NA	NA	2019
"HU C; ZHU J; MEI H; SHI H; GUO H; ZHANG G; WANG P; LU L; ZHENG X"	"A sensitive HPLC-MS/MS method for the analysis of fiber dyes"	2018	"Fiber dyes; Forensic science; HPLC-MS/MS; Sensitivity"	"Forensic Chemistry"	"10.1016/j.forc.2018.08.001"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051634082&doi=10.1016%2fj.forc.2018.08.001&partnerID=40&md5=af7f331d60c97039f8de1dae18c6a621"	2019
"SLOAN K; FERGUSSON M; ROBERTSON J"	"Textile damage examinations on the cutting edge–an Australian perspective"	2018	"cognitive bias; PCAST report; reliability; Textile damage analysis; textile severance morphology; validity"	"Australian Journal of Forensic Sciences"	"10.1080/00450618.2018.1438877"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043319042&doi=10.1080%2f00450618.2018.1438877&partnerID=40&md5=8acc23fde15378050c22c302eeb72bcc"	2019
"POWELL R; VAN BRONSWIJK W; COUMBAROS J"	"Enhancing the evidential value of textile fibres: Part 1: Development of a spectral database and evaluative comparison strategy"	2018	"Database; First derivative; Forensic science; Microspectrophotometry; Textile fibres"	"Forensic Science International"	"10.1016/j.forsciint.2018.03.025"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044976631&doi=10.1016%2fj.forsciint.2018.03.025&partnerID=40&md5=55b2e16ba152678cc71948cdf6b322da"	2019
"BITZER S"	"Factors leading to the involvement of Forensic Advisors in the Belgian criminal justice system"	2018	"Communication; Efficiency; Traces; Triaging"	"Forensic Science International"	"10.1016/j.forsciint.2018.02.007"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042705733&doi=10.1016%2fj.forsciint.2018.02.007&partnerID=40&md5=f0cf593e97e8f117840ff359651f2f45"	2019
"BUCKNELL A; BASSINDALE T"	"An investigation into the effect of surveillance drones on textile evidence at crime scenes"	2017	"Crime scene; Drone; Fibres; Forensic science; Trace evidence"	"Science and Justice"	"10.1016/j.scijus.2017.05.004"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019949851&doi=10.1016%2fj.scijus.2017.05.004&partnerID=40&md5=fd059b77db2e165fb7c947aaf789faa9"	2019
"SUMMERSCALES J; GWINNETT C"	"Forensic identification of bast fibres"	2017	"A: Fibres; D: Optical microscopy; D: Physical methods of testing; X: Natural fibres"	"Biocomposites for High-Performance Applications: Current Barriers and Future Needs Towards Industrial Development"	"10.1016/B978-0-08-100793-8.00005-3"	"Book"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042293521&doi=10.1016%2fB978-0-08-100793-8.00005-3&partnerID=40&md5=05ef078c936d611d86e17913571e32e4"	2019
"SAMLAL-SOEDHOE R; WILLEMSTEIN LM; BAIKER M; VAN DER WEERD J"	"Combined recovery of biological and fibre traces"	2017	NA	"Science and Justice"	"10.1016/j.scijus.2017.02.001"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012206968&doi=10.1016%2fj.scijus.2017.02.001&partnerID=40&md5=b13c4415aad9b7448fe64fe64b47d0c8"	2019
"SCHNEGG M; MASSONNET G"	"Microtraces collection: A high potential to consider at the earliest stage of the crime scene investigation [Prélèvement des microtraces : Un fort potentiel à considérer dès l’investigation de la scène de crime]"	2017	"1:1 taping; Adhesive bands; Distribution; Sampling techniques; Textile fibres"	"Revue Internationale de Criminologie et de Police Technique et Scientifique"	NA	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020900249&partnerID=40&md5=c793f8f8d9d984a71072f444c0bd7195"	2019
"LEPOT L; VANDEN DRIESSCHE T; LUNSTROOT K; BARRET A; GASON F; DE WAEL K"	"Extraneous fibre traces brought by river water — A case study"	2017	"Cotton; Discrimination; Forensic fibre examination; Microspectrophotometry; Polyester; Significance of evidence; Underwater conditions"	"Science and Justice"	"10.1016/j.scijus.2016.10.006"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85005976237&doi=10.1016%2fj.scijus.2016.10.006&partnerID=40&md5=328a1431f292b10d110da06578769294"	2019
"CARDOSO SANTOS M; DAI C; MANHAS VERBI PEREIRA F"	"Chemical Element Profiles in Commercial Woven Fabric Combining Laser-Induced Breakdown Spectroscopy and Chemometrics"	2018	"chemometrics; laser-induced breakdown spectroscopy; woven fabric"	"Journal of Applied Spectroscopy"	"10.1007/s10812-018-0685-6"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051058687&doi=10.1007%2fs10812-018-0685-6&partnerID=40&md5=80be15dea3a19bca0f4891cb58370b2d"	2019
"JOSLIN YOGI TA; PENROD M; HOLT M; BUZZINI P"	"The relationship between cross-sectional shapes and FTIR profiles in synthetic wig fibers and their discriminating abilities — An evidential value perspective"	2018	"Fibers; FTIR spectroscopy; Microscopy; Trace evidence; Wigs"	"Forensic Science International"	"10.1016/j.forsciint.2017.12.015"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039724939&doi=10.1016%2fj.forsciint.2017.12.015&partnerID=40&md5=49d549643253c1d92397b0c208af27e8"	2019
"SCHULMAN TG; SAMLAL-SOEDHOE RS; VAN DER WEERD J"	"Toward a systematic classification of textile damages"	2018	"Classification; cut; heat; textile damage; validation; wear-and-tear"	"Forensic science review"	NA	"Review"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043368609&partnerID=40&md5=f015a2990497a625296fa78855577b6e"	2019
"DE WAEL K; LEPOT L"	"Forensic Science, Applications of Raman Spectroscopy to Fiber Analysis"	2017	"Cellulose; Databases; Dyes; Dyes, mixture; Fiber examination; Fiber, man-made; Fiber, natural; Fluorescence; Forensic science; Nylon; Pigments; Polyester; Polyolefin; Raman spectroscopy; Resonance"	"Encyclopedia of Spectroscopy and Spectrometry"	"10.1016/B978-0-12-409547-2.12168-7"	"Book"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060161635&doi=10.1016%2fB978-0-12-409547-2.12168-7&partnerID=40&md5=820d123057150833198a22e28eaf4040"	2019
"CHISNALL RC"	"Analysing knot evidence: Associating innate habits with sophisticated tying tasks"	2016	NA	"Scandinavian J. For. Sci."	NA	NA	NA	2019
"TAKEMATSU MM; DINIZ MF; DA COSTA MATTOS E; DE CÁSSIA LAZZARINI DUTRA R"	"Sheath-core bicomponent fiber characterization by FT-IR and other analytical methodologies"	2018	"Bicomponent fiber; Characterization; FT-IR; Polyethylene; Polypropylene"	"Polimeros"	"10.1590/0104-1428.09016"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055180001&doi=10.1590%2f0104-1428.09016&partnerID=40&md5=be6ea48006dc008857c04d020595bf80"	2019
"VAN HOUTE F"	"Information on man-made fibres"	2018	NA	NA	NA	NA	NA	2019
"FRIEDMAN J"	"Current FBI approved standards for testimony and reporting for hairs and fibres"	2018	NA	"Proceedings of the 26th European Textile & Hair Group (ETHG – ENFSI Working Group) Meeting, Zurich"	NA	NA	NA	2019
"WILLIAMS GA"	"Forensic textile damage analysis: recent advances"	2018	NA	"Res. Rep. Forensic Med. Sci."	NA	NA	NA	2019
"GROVES E; PALENIK S; PALENIK CS"	"A generalized approach to forensic dye identification: Development and utility of reference libraries"	2018	NA	"Journal of AOAC International"	"10.5740/jaoacint.18-0052"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058365582&doi=10.5740%2fjaoacint.18-0052&partnerID=40&md5=307fae86976745bd9646db6561fea6a1"	2019
"WETZER E; LOHNINGER H"	"Image Processing using Color Space Models for Forensic Fiber Detection"	2018	"Data Reduction; Image analysis; Image processing; Image segmentation; Object recognition"	"IFAC-PapersOnLine"	"10.1016/j.ifacol.2018.03.076"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046622878&doi=10.1016%2fj.ifacol.2018.03.076&partnerID=40&md5=6baa170d1256c18422f322183204520b"	2019
"CHISNALL RC"	"Categorizing innate tying behavior and knot sophistication using fundamental principles"	2017	NA	"Journal of Forensic Identification"	NA	"Review"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041385758&partnerID=40&md5=7e3a4b56fbe371497272de3dfde4eff0"	2019
"GRUNWALD JE; GANNICLIFFE C"	"The situation in Germany and UK"	2017	NA	"Proceedings of the 25th European Textile & Hair Group (ETHG – ENFSI Working Group) Meeting, Leiden"	NA	NA	NA	2019
"EUROPEAN TEXTILE & HAIR GROUP"	"Workshop on Interpretation"	2017	NA	"25th European Textile & Hair Group (ETHG – ENFSI Working Group) Meeting, Leiden"	NA	NA	NA	2019
"KATO T; SUZUKI Y; HANDA M"	"Analysis and discrimination of disperse dyes extracted from black polyester fibers"	2017	"Black polyester gloves; Disperse dye; Liquid chromatography/linear ion trap mass spectrometry"	"Bunseki Kagaku"	"10.2116/bunsekikagaku.66.39"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012008518&doi=10.2116%2fbunsekikagaku.66.39&partnerID=40&md5=743659f437a10c2af9fb5abd1ba3a2b2"	2019
"LEPOT L; DE WAEL K; LUNSTROOT K"	"Fibres and textiles, 2013-2016"	2016	NA	"Proceedings of the 18th Interpol International Forensic Science Managers Symposium"	NA	NA	NA	2019
"BURNIP MR"	"Forensic Characterization of Dyes from Synthetic Textile Fibers Exposed to Outdoor and Laundering Effects by Ultra Performance Liquid Chromatography and Spectral Analysis"	2016	NA	NA	NA	NA	NA	2019
