Keywords	KeywordsCorrected	Acronyms
BISMUTH	BISMUTH (BI)	BISMUTH (BI)
BLACK COTTON	COTTON	COTTON
BLUE COTTON	COTTON	COTTON
BLUE WOOL FIBRES	WOOL	WOOL
BODY FLUIDS	BODY FLUID	BODY FLUID
BRAKE PADS	BRAKE PAD	BRAKE PAD
BULLET HOLE	BULLET HOLES	BULLET HOLES
BURNS	BURN	BURN
CAMERAS	CAMERA	CAMERA
CAPILLARY ELECTROPHORESIS	CAPILLARY ELECTROPHORESIS (CE)	CAPILLARY ELECTROPHORESIS (CE)
CAPILLARY MICROEXTRACTION OF VOLATILE	CAPILLARY MICROEXTRACTION OF VOLATILES (CMV)	(CMV)
CAPILLARY MICROEXTRACTION OF VOLATILES	CAPILLARY MICROEXTRACTION OF VOLATILES (CMV)	(CMV)
CAR SEATS	CAR SEAT	CAR SEAT
CARBANILIDES	CARBANILIDE	CARBANILIDE
CARTRIDGE CASING	CARTRIDGE CASE	CARTRIDGE CASE
CARTRIDGE DISCHARGE RESIDUE	CARTRIDGE DISCHARGE RESIDUES (CDR)	(CDR)
CHEMICAL COMPOSITIONS	CHEMICAL COMPOSITION	CHEMICAL COMPOSITION
CHEMICAL COMPOUNDS	CHEMICAL COMPOUND	CHEMICAL COMPOUND
CHEMICAL IMAGES	CHEMICAL IMAGE	CHEMICAL IMAGE
CHEMICAL WARFARE AGENT	CHEMICAL WARFARE AGENTS (CWAS)	CHEMICAL WARFARE AGENTS (CWAS)
CHEMICAL WARFARE AGENTS	CHEMICAL WARFARE AGENTS (CWAS)	CHEMICAL WARFARE AGENTS (CWAS)
CHEMOMETRIC	CHEMOMETRICS	CHEMOMETRICS
CHEMOMETRY	CHEMOMETRICS	CHEMOMETRICS
"CHROMATOGRAPHY, GAS"	GAS CHROMATOGRAPHY (GC)	GAS CHROMATOGRAPHY (GC)
"CHROMATOGRAPHY, HIGH PRESSURE LIQUID"	HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)	(HPLC)
"CHROMATOGRAPHY, HIGH PRESSURE LIQUID"	HIGH PRESSURE LIQUID CHROMATOGRAPHY (HPLC)	(HPLC)
"CHROMATOGRAPHY, ION EXCHANGE"	ION EXCHANGE CHROMATOGRAPHY	ION EXCHANGE CHROMATOGRAPHY
"CHROMATOGRAPHY, LIQUID"	LIQUID CHROMATOGRAPHY (LC)	LIQUID CHROMATOGRAPHY (LC)
"CHROMATOGRAPHY, MICELLAR ELECTROKINETIC CAPILLARY"	MICELLAR ELECTROKINETIC CAPILLARY CHROMATOGRAPHY	MICELLAR ELECTROKINETIC CAPILLARY CHROMATOGRAPHY
"CHROMATOGRAPHY, THIN LAYER"	THIN LAYER CHROMATOGRAPHY (TLC)	THIN LAYER CHROMATOGRAPHY (TLC)
"CHROMATOGRAPHY, THIN LAYER"	THIN-LAYER CHROMATOGRAPHY (TLC)	THIN-LAYER CHROMATOGRAPHY (TLC)
CLOTHES	CLOTHING	CLOTHING
CLOTHING-FABRIC	CLOTHING	CLOTHING
COLOR	COLOUR	COLOUR
CONCENTRATION (PARAMETERS)	CONCENTRATION (PARAMETER)	CONCENTRATION (PARAMETER)
CONFOCAL RAMAN MICROSPECTROSCOPY	RAMAN	RAMAN
COORDINATION COMPOUNDS	COORDINATION COMPOUND	COORDINATION COMPOUND
COPPER	COPPER (CU)	COPPER (CU)
COTTON FIBERS	COTTON	COTTON
COTTON FIBRE	COTTON	COTTON
COTTON FIBRES	COTTON	COTTON
COTTONS	COTTON	COTTON
CRIME SCENE INVESTIGATIONS	CRIME SCENE INVESTIGATION	CRIME SCENE INVESTIGATION
CRIMINALISTICS	CRIMINALISTIC	CRIMINALISTIC
CYANOACRYLATES	CYANOACRYLATE	CYANOACRYLATE
CYCLIC VOLTAMMETRIC	CYCLIC VOLTAMMETRY	CYCLIC VOLTAMMETRY
CYCLIC VOLTAMMOGRAMS	CYCLIC VOLTAMMETRY	CYCLIC VOLTAMMETRY
DATA BASE	DATABASE	DATABASE
DATA SETS	DATA SET	DATA SET
DATABASES	DATABASE	DATABASE
"DATABASES, FACTUAL"	DATABASE	DATABASE
DESI MASS SPECTROMETRY	DESORPTION ELECTROSPRAY IONISATION-MASS SPECTROMETRY-MASS SPECTROMETRY (DESI-MSMS)	(DESI-MSMS)
DESI-MSMS	DESORPTION ELECTROSPRAY IONISATION-MASS SPECTROMETRY (DESI-MS)	(DESI-MS)
DESORPTION ELECTROSPRAY IONISATION MASS SPECTROMETRY	DESORPTION ELECTROSPRAY IONISATION-MASS SPECTROMETRY (DESI-MS)	(DESI-MS)
DESORPTION ELECTROSPRAY IONISATION MASS SPECTROMETRY (DESI-MS)	DESORPTION ELECTROSPRAY IONISATION-MASS SPECTROMETRY (DESI-MS)	(DESI-MS)
DESORPTION ELECTROSPRAY IONIZATION MASS SPECTROMETRY	DESORPTION ELECTROSPRAY IONISATION-MASS SPECTROMETRY (DESI-MS)	(DESI-MS)
DEVICES	DEVICE	DEVICE
DICARBOXYLIC ACIDS	DICARBOXYLIC ACID	DICARBOXYLIC ACID
DIP PEN LITHOGRAPHY	DIP-PEN LITHOGRAPHY	DIP-PEN LITHOGRAPHY
DIPHENYLAMINE	DIPHENLYAMINE (DPA)	DIPHENLYAMINE (DPA)
DISTANCE ESTIMATION	DISTANCE DETERMINATION	DISTANCE DETERMINATION
DISTANCE-BASED ??PAD	DISTANCE-BASED PAD	DISTANCE-BASED PAD
DRUGS	DRUG	DRUG
DYES	DYE	DYE
DYES (BASIC)	DYE	DYE
EAGLES	EAGLE	EAGLE
EDX	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
EGGS	EGG	EGG
ELECTRODES	ELECTRODE	ELECTRODE
ELECTRON DISPERSIVE SPECTROMETRY	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ELECTRON DISPERSIVE X-RAY MICROANALYSIS	ENERGY DISPERSIVE X-RAY MICROANALYSIS	ENERGY DISPERSIVE X-RAY MICROANALYSIS
ELECTRON MICROSCOPE	ELECTRON MICROSCOPY	ELECTRON MICROSCOPY
ELECTRON MICROSCOPES	ELECTRON MICROSCOPY	ELECTRON MICROSCOPY
ELECTRONIC TONGUES	ELECTRONIC TONGUE	ELECTRONIC TONGUE
"ELECTROPHORESIS, CAPILLARY"	CAPILLARY ELECTROPHORESIS	CAPILLARY ELECTROPHORESIS
ELEMENTAL COMPOSITIONS	ELEMENTAL COMPOSITION	ELEMENTAL COMPOSITION
EMISSION SPECTROMETRY	EMISSION SPECTROSCOPY	EMISSION SPECTROSCOPY
ENERGY DISPERSIVE ANALYSIS	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE SPECTROMETRY	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE SPECTROSCOPY	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE X RAY ANALYSIS	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE X- RAY ANALYSIS (EDX)	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE X RAY MICROANALYSIS	ENERGY DISPERSIVE X-RAY MICROANALYSIS	ENERGY DISPERSIVE X-RAY MICROANALYSIS
ENERGY DISPERSIVE X RAY SPECTROMETER	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE X RAY SPECTROMETERY	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE X RAY SPECTROMETRY	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE X RAY SPECTROSCOPY	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE X-RAY	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE X-RAY ANALYSIS	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE X-RAY ANALYSIS (EDX)	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE X-RAY FLUORESCENCE	X-RAY ENERGY DISPERSIVE FLUORESCENCE	X-RAY ENERGY DISPERSIVE FLUORESCENCE
ENERGY DISPERSIVE X-RAY FLUORESCENCE SPECTROMETRY	X-RAY ENERGY DISPERSIVEFLUORESCENCE SPECTROMETRY	X-RAY ENERGY DISPERSIVEFLUORESCENCE SPECTROMETRY
ENERGY DISPERSIVE X-RAY SPECTROMETER (EDS)	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE X-RAY SPECTROMETRY	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE X-RAY SPECTROSCOPY	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY DISPERSIVE X-RAY SPECTROSCOPY (EDS)	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENERGY-DISPERSIVE X-RAY ANALYSIS	ENERGY DISPERSIVE SPECTROSCOPY (EDS)	(EDS)
ENFSI	EUROPEAN NETWORK OF FORENSIC SCIENCE INSTITUTES	EUROPEAN NETWORK OF FORENSIC SCIENCE INSTITUTES
ETHYL CENTRALITE	ETHYL CENTRALITE (EC)	ETHYL CENTRALITE (EC)
ETHYLCENTRALITE	ETHYL CENTRALITE (EC)	ETHYL CENTRALITE (EC)
EUROPEAN NETWORK OF FORENSIC SCIENCE INSTITUTE	EUROPEAN NETWORK OF FORENSIC SCIENCE INSTITUTES	EUROPEAN NETWORK OF FORENSIC SCIENCE INSTITUTES
EXIT WOUNDS	EXIT WOUND	EXIT WOUND
FDR	FIREARM DISCHARGE RESIDUE (FDR)	FIREARM DISCHARGE RESIDUE (FDR)
FIBER	FIBRE	FIBRE
FIBER ANALYSIS	FIBRE ANALYSIS	FIBRE ANALYSIS
FIBER ANALYSIS TECHNIQUES	FIBRE ANALYSIS TECHNIQUES	FIBRE ANALYSIS TECHNIQUES
FIBER BLENDS	FIBRE BLENDS	FIBRE BLENDS
FIBER BUNDLE	FIBRE BUNDLE	FIBRE BUNDLE
FIBER CHEMISTRIES	FIBRE CHEMISTRIES	FIBRE CHEMISTRIES
FIBER COATING	FIBRE COATING	FIBRE COATING
FIBER COLLECTION	FIBRE COLLECTION	FIBRE COLLECTION
FIBER COMPARISON	FIBRE COMPARISON	FIBRE COMPARISON
FIBER DEGRADATION	FIBRE DEGRADATION	FIBRE DEGRADATION
FIBER DISTRIBUTION	FIBRE DISTRIBUTION	FIBRE DISTRIBUTION
FIBER DRESSING	FIBRE DRESSING	FIBRE DRESSING
FIBER DYE IDENTIFICATION	FIBRE DYE IDENTIFICATION	FIBRE DYE IDENTIFICATION
FIBER DYES	FIBRE DYES	FIBRE DYES
FIBER END SURFACES	FIBRE END SURFACES	FIBRE END SURFACES
FIBER EVIDENCE	FIBRE EVIDENCE	FIBRE EVIDENCE
FIBER EXAMINATION	FIBRE EXAMINATION	FIBRE EXAMINATION
FIBER FINDER	FIBRE FINDER	FIBRE FINDER
FIBER FORENSIC COMPARISON	FIBRE FORENSIC COMPARISON	FIBRE FORENSIC COMPARISON
FIBER FORENSICS	FIBRE FORENSICS	FIBRE FORENSICS
FIBER FRACTURES	FIBRE FRACTURES	FIBRE FRACTURES
FIBER FREQUENCY	FIBRE FREQUENCY	FIBRE FREQUENCY
FIBER IDENTIFICATION	FIBRE IDENTIFICATION	FIBRE IDENTIFICATION
FIBER MATERIAL EVIDENCE	FIBRE MATERIAL EVIDENCE	FIBRE MATERIAL EVIDENCE
FIBER NETWORK	FIBRE NETWORK	FIBRE NETWORK
FIBER OPTIC	FIBRE OPTIC	FIBRE OPTIC
FIBER OPTIC PROBES	FIBRE OPTIC PROBES	FIBRE OPTIC PROBES
FIBER OPTIC SENSORS	FIBRE OPTIC SENSORS	FIBRE OPTIC SENSORS
FIBER OPTICS	FIBRE OPTICS	FIBRE OPTICS
FIBER ORIENTATION	FIBRE ORIENTATION	FIBRE ORIENTATION
FIBER PRODUCTION	FIBRE PRODUCTION	FIBRE PRODUCTION
FIBER PROPORTIONS	FIBRE PROPORTIONS	FIBRE PROPORTIONS
FIBER RECOVERY	FIBRE RECOVERY	FIBRE RECOVERY
FIBER REINFORCED CONCRETE	FIBRE REINFORCED CONCRETE	FIBRE REINFORCED CONCRETE
FIBER REINFORCED MATERIALS	FIBRE REINFORCED MATERIALS	FIBRE REINFORCED MATERIALS
FIBER SCALES	FIBRE SCALES	FIBRE SCALES
FIBER SOLID-PHASE MICROEXTRACTION	FIBRE SOLID-PHASE MICROEXTRACTION	FIBRE SOLID-PHASE MICROEXTRACTION
FIBER TIP PENS	FIBRE TIP PENS	FIBRE TIP PENS
FIBER TRACTOGRAPHY	FIBRE TRACTOGRAPHY	FIBRE TRACTOGRAPHY
FIBER TRANSFER	FIBRE TRANSFER	FIBRE TRANSFER
FIBER TYPES	FIBRE TYPES	FIBRE TYPES
FIBER: ACRYLIC BICOMPONENT	FIBRE: ACRYLIC BICOMPONENT	FIBRE: ACRYLIC BICOMPONENT
FIBER-END APPEARANCE	FIBRE-END APPEARANCE	FIBRE-END APPEARANCE
FIBER-ENHANCED RAMAN SPECTROSCOPY (FERS)	FIBRE-ENHANCED RAMAN SPECTROSCOPY (FERS)	(FERS)
FIBER-MELTING TRACES	FIBRE-MELTING TRACES	FIBRE-MELTING TRACES
FIBEROPTICS	FIBREOPTICS	FIBREOPTICS
FIBERS	FIBRE	FIBRE
FIBERS	FIBRE	FIBRE
FIBERS FORENSIC	FIBRE FORENSIC	FIBRE FORENSIC
FIBERS FORENSIC COMPARISON	FIBRE FORENSIC COMPARISON	FIBRE FORENSIC COMPARISON
FIBERSCOPE EXAMINATION	FIBRESCOPE EXAMINATION	FIBRESCOPE EXAMINATION
FIBER-SOLID PHASE MICROEXTRACTION (HF-SPME)	FIBRE-SOLID PHASE MICROEXTRACTION (HF-SPME)	(HF-SPME)
FIBER-TIP PEN INKS	FIBRE-TIP PEN INKS	FIBRE-TIP PEN INKS
FIBRES	FIBRE	FIBRE
FIBRES - FREQUENCY	FIBRE - FREQUENCY	FIBRE - FREQUENCY
FIBRES ANALYSIS	FIBRE ANALYSIS	FIBRE ANALYSIS
FIBRES AND TEXTILES	FIBRE AND TEXTILES	FIBRE AND TEXTILES
FIBRES EVIDENCE	FIBRE EVIDENCE	FIBRE EVIDENCE
FIBRES EXAMINATION	FIBRE EXAMINATION	FIBRE EXAMINATION
FIBRES IN HAIR	FIBRE IN HAIR	FIBRE IN HAIR
FIBRES RECOVERY	FIBRE RECOVERY	FIBRE RECOVERY
FIBRES TEXTILES	FIBRE TEXTILES	FIBRE TEXTILES
FIBRES: TRANSFER AND DISPERSAL	FIBRE: TRANSFER AND DISPERSAL	FIBRE: TRANSFER AND DISPERSAL
FIELD TESTS	FIELD TEST	FIELD TEST
FINGERMARK	FINGERPRINT	FINGERPRINT
FINGERMARKS	FINGERPRINT	FINGERPRINT
FINGERPRINTS	FINGERPRINT	FINGERPRINT
FINGERS	FINGER	FINGER
FIREARM DISCHARGE RESIDUE	FIREARM DISCHARGE RESIDUE (FDR)	FIREARM DISCHARGE RESIDUE (FDR)
FIREARM DISCHARGE RESIDUES	FIREARM DISCHARGE RESIDUE (FDR)	FIREARM DISCHARGE RESIDUE (FDR)
FIREARMS	FIREARM	FIREARM
FIREARMS DISCHARGE RESIDUE (FDR)	FIREARM DISCHARGE RESIDUE (FDR)	FIREARM DISCHARGE RESIDUE (FDR)
FIRING DISTANCE	SHOOTING DISTANCE DETERMINATION	SHOOTING DISTANCE DETERMINATION
FIRING RANGE	SHOOTING DISTANCE DETERMINATION	SHOOTING DISTANCE DETERMINATION
FIRING RANGE DETERMINATION	SHOOTING DISTANCE DETERMINATION	SHOOTING DISTANCE DETERMINATION
FIRING RANGES	SHOOTING DISTANCE DETERMINATION	SHOOTING DISTANCE DETERMINATION
FLUORENES	FLUORENE	FLUORENE
FORENSIC	FORENSIC SCIENCE	FORENSIC SCIENCE
FORENSIC SAMPLES	FORENSIC SAMPLE	FORENSIC SAMPLE
FORENSIC SCIENCES	FORENSIC SCIENCE	FORENSIC SCIENCE
FORENSIC SCIENTISTS	FORENSIC SCIENTIST	FORENSIC SCIENTIST
FORENSICS	FORENSIC SCIENCE	FORENSIC SCIENCE
FOURIER TRANSFORM INFRA RED (FTIR) SPECTROSCOPY	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FOURIER TRANSFORM INFRARED	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FOURIER TRANSFORM INFRARED (FT-IR) MICROSPECTROSCOPY	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FOURIER TRANSFORM INFRARED MICROANALYSIS	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FOURIER TRANSFORM INFRARED MICROSPECTROSCOPY	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FOURIER TRANSFORM INFRARED SPECTROSCOPY	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FOURIER TRANSFORM INFRARED-MICROSCOPY MICROSPECTROPHOTOMETRY	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FREQUENCIES	FREQUENCY	FREQUENCY
FTIR	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FTIR	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FT-IR	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FT-IR	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FTIR MICROSCOPY	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FT-IR MICROSCOPY IN FORENSIC LABORATORIES	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FTIR SPECTROSCOPY	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FT-IR SPECTROSCOPY	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FTIR)	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
FTIR-MICROSPECTROSCOPY	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
GAS CHROMATOGRAPHY	GAS CHROMATOGRAPHY (GC)	GAS CHROMATOGRAPHY (GC)
GAS CHROMATOGRAPHY/MASS	GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)	(GC–MS)
GAS CHROMATOGRAPHY/MASS SPECTROMETRY	GAS CHROMATOGRAPHY-MASS SPECTROMETRY (GC-MS)	(GC-MS)
GAS CHROMATOGRAPHY/MASS SPECTROMETRY	GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)	(GC–MS)
GAS CHROMATOGRAPHY/MS SPECTROMETRY	GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)	(GC–MS)
GAS CHROMATOGRAPHY?ÇôMASS SPECTROMETRY (GC?ÇôMS)	GAS CHROMATOGRAPHY-MASS SPECTROMETRY (GC-MS)	(GC-MS)
GAS CHROMATOGRAPHY-ISOTOPE RATIO MASS SPECTROMETRY	GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)	(GC–MS)
GAS CHROMATOGRAPHY-MASS SPECTROMETRY	GAS CHROMATOGRAPHY-MASS SPECTROMETRY (GC-MS)	(GC-MS)
GAS CHROMATOGRAPHY-MASS SPECTROMETRY	GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)	(GC–MS)
GAS CHROMATOGRAPHY-THERMAL ENERGY ANALYZER	GAS CHROMATOGRAPHY-THERMAL ENERGY ANALYZER (GC-TEA)	(GC-TEA)
GC	GAS CHROMATOGRAPHY (GC)	GAS CHROMATOGRAPHY (GC)
GC/MS	GAS CHROMATOGRAPHY-MASS SPECTROMETRY (GC-MS)	(GC-MS)
GC/MS	GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)	(GC–MS)
GC/TEA	GAS CHROMATOGRAPHY-THERMAL ENERGY ANALYZER (GC-TEA)	(GC-TEA)
GC-MS	GAS CHROMATOGRAPHY-MASS SPECTROMETRY (GC-MS)	(GC-MS)
GC-MS	GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)	(GC–MS)
GC-TEA	GAS CHROMATOGRAPHY-THERMAL ENERGY ANALYZER (GC-TEA)	(GC-TEA)
GOATS	GOAT	GOAT
GREY COTTON	COTTON	COTTON
GSR	GUNSHOT RESIDUE (GSR)	GUNSHOT RESIDUE (GSR)
GSR (GUNSHOT RESIDUE)	GUNSHOT RESIDUE (GSR)	GUNSHOT RESIDUE (GSR)
GSR ANALYSIS	GUNSHOT RESIDUE ANALYSIS	GUNSHOT RESIDUE ANALYSIS
GSR CONTAMINATION	GUNSHOT RESIDUE CONTAMINATION	GUNSHOT RESIDUE CONTAMINATION
GSR PARTICLES	GUNSHOT RESIDUE (GSR)	GUNSHOT RESIDUE (GSR)
GSR PATTERN	GUNSHOT RESIDUE PATTERN	GUNSHOT RESIDUE PATTERN
GUN	FIREARM	FIREARM
GUN SHOT RESIDUE	GUNSHOT RESIDUE (GSR)	GUNSHOT RESIDUE (GSR)
GUN SHOT RESIDUES	GUNSHOT RESIDUE (GSR)	GUNSHOT RESIDUE (GSR)
GUNPOWDER RESIDUES	GUNPOWDER RESIDUE	GUNPOWDER RESIDUE
GUNS	FIREARM	FIREARM
GUNSHOT RESIDUE	GUNSHOT RESIDUE (GSR)	GUNSHOT RESIDUE (GSR)
GUNSHOT RESIDUE (GSR) ANALYSIS	GUNSHOT RESIDUE ANALYSIS	GUNSHOT RESIDUE ANALYSIS
GUNSHOT RESIDUE PARTICLES	GUNSHOT RESIDUE PARTICLE	GUNSHOT RESIDUE PARTICLE
GUNSHOT RESIDUE PATTERNS	GUNSHOT RESIDUE PATTERN	GUNSHOT RESIDUE PATTERN
GUNSHOT RESIDUE(GSR)	GUNSHOT RESIDUE (GSR)	GUNSHOT RESIDUE (GSR)
GUNSHOT RESIDUES	GUNSHOT RESIDUE (GSR)	GUNSHOT RESIDUE (GSR)
GUNSHOT RESIDUES (GSR)	GUNSHOT RESIDUE (GSR)	GUNSHOT RESIDUE (GSR)
GUNSHOT RESIDUES (GSRS)	GUNSHOT RESIDUE (GSR)	GUNSHOT RESIDUE (GSR)
GUNSHOT RESIDUES(GSRS)	GUNSHOT RESIDUE (GSR)	GUNSHOT RESIDUE (GSR)
GUN-SHOT WOUND	GUNSHOT WOUND	GUNSHOT WOUND
GUNSHOT WOUNDS	GUNSHOT WOUND	GUNSHOT WOUND
HAIRS	HAIR	HAIR
HAND-GUN	HANDGUN	HANDGUN
HANDGUNS	HANDGUN	HANDGUN
HEAD HAIR	HAIR	HAIR
HEAVY METALS	HEAVY METAL	HEAVY METAL
HIGH PERFORMANCE LIQUID CHROMATOGRAPHY	HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)	(HPLC)
HIGH PERFORMANCE LIQUID CHROMATOGRAPHY DIODE ARRAY DETECTOR	HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)	(HPLC)
HIGH PERFORMANCE THIN LAYER CHROMATOGRAPHY	HIGH PERFORMANCE THIN-LAYER CHROMATOGRAPHY (HPTLC)	(HPTLC)
HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY	HIGH PRESSURE LIQUID CHROMATOGRAPHY (HPLC)	(HPLC)
HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY-DIODE ARRAY DETECTION	HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)	(HPLC)
