"TI"	"PY"	"AU"	"DEW"	"IDW"	"DES"	"IDS"	"C1W"	"C1"	"C1S"	"DOI"	"SO"	"DT"	"Coder"	"DE"
"17TH ANNUAL BCC CONFERENCE ON RECENT ADVANCES IN FLAME RETARDANCY OF POLYMERIC MATERIALS 2006"	2006	"NA NA"	""	""	""	"NA"	NA	"NA"	"NA"	""	"17TH CONFERENCE ON RECENT ADVANCES IN FLAME RETARDANCY OF POLYMERIC MATERIALS 2006 - \"APPLICATIONS RESEARCH AND INDUSTRIAL DEVELOPMENT MARKETS\""	"CONFERENCE REVIEW"	"Scopus"	""
"2012 2ND INTERNATIONAL CONFERENCE ON MANAGEMENT, MANUFACTURING AND MATERIALS ENGINEERING, ICMMM 2012"	2013	"NA NA"	""	""	""	"NA"	NA	"NA"	"NA"	""	"ADVANCED MATERIALS RESEARCH"	"CONFERENCE REVIEW"	"Scopus"	""
"2016 IEEE SYMPOSIUM ON TECHNOLOGIES FOR HOMELAND SECURITY, HST 2016"	2016	"NA NA"	""	""	""	"NA"	NA	"NA"	"NA"	""	"2016 IEEE SYMPOSIUM ON TECHNOLOGIES FOR HOMELAND SECURITY HST 2016"	"CONFERENCE REVIEW"	"Scopus"	""
"3D VIEW ON THE `CROSSING LINES' PROBLEM IN DOCUMENT INVESTIGATION"	2002	"BERX V;DE KINDER J"	"FORENSICS; QUESTIONED DOCUMENTS; LASER PROFILOMETRY; TOPOGRAPHY; CROSSING LINES; WRITING SEQUENCE"	""	""	""	"BERX, V (CORRESPONDING AUTHOR), NICC, INCC, VILVOORDSESTEENWEG 98-100, B-1120 BRUSSELS, BELGIUM; NICC, INCC, B-1120 BRUSSELS, BELGIUM"	"BERX, V (CORRESPONDING AUTHOR), NICC, INCC, VILVOORDSESTEENWEG 98-100, B-1120 BRUSSELS, BELGIUM; NICC, INCC, B-1120 BRUSSELS, BELGIUM"	NA	"10.1117/12.474731"	"INVESTIGATIVE IMAGE PROCESSING II"	"PROCEEDINGS"	"WebOfScience"	"FORENSICS;QUESTIONED DOCUMENTS;LASER PROFILOMETRY;TOPOGRAPHY;CROSSING LINES;WRITING SEQUENCE"
"4TH EUROPEAN ACADEMY OF FORENSIC SCIENCE CONFERENCE [4. KONFERENCJA EUROPEJSKIEJ AKADEMII NAUK SADOWYCH]"	2006	"BIAEK I;BRANICKI W;CZUBAK A;WAS-GUBALA J;ZADORA G;ZBALA J;ZIBA-PALUS J;ZUBA D"	""	""	""	"GLASS FIBER;ACADEMIC ACHIEVEMENT;CONFERENCE PAPER;DRUG SCREENING;EUROPEAN UNION;EXAMINATION;EXPLOSION;FIBER;FINGER DERMATOGLYPHICS;FLAMMABILITY;FORENSIC MEDICINE;FORENSIC SCIENCE;GENETICS;MEDICAL RESEARCH;MEDICINE;ORGANIZATIONAL DEVELOPMENT;PHYSICAL ANTHROPOLOGY;PROGRAM DEVELOPMENT;RAMAN SPECTROMETRY;STRUCTURE ANALYSIS;TRAFFIC ACCIDENT"	NA	"NA"	"NA"	""	"Z ZAGADNIEN NAUK SADOWYCH"	"CONFERENCE PAPER"	"Scopus"	""
"4TH INTERNATIONAL CONFERENCE ON ENERGY, ENVIRONMENT, EPIDEMIOLOGY AND INFORMATION SYSTEM, ICENIS 2019"	2019	"NA NA"	""	""	""	"NA"	NA	"NA"	"NA"	""	"E3S WEB OF CONFERENCES"	"CONFERENCE REVIEW"	"Scopus"	""
"5TH INTERNATIONAL CONFERENCE ON FUTURE NETWORK SYSTEMS AND SECURITY, FNSS 2019"	2019	"NA NA"	""	""	""	"NA"	NA	"NA"	"NA"	""	"COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE"	"CONFERENCE REVIEW"	"Scopus"	""
"7TH INTERNATIONAL SYMPOSIUM ON HIGH-CAPACITY OPTICAL NETWORKS AND ENABLING TECHNOLOGIES, HONET 2010"	2010	"NA NA"	""	""	""	"NA"	NA	"NA"	"NA"	""	"7TH INTERNATIONAL SYMPOSIUM ON HIGH-CAPACITY OPTICAL NETWORKS AND ENABLING TECHNOLOGIES HONET 2010"	"CONFERENCE REVIEW"	"Scopus"	""
"7TH MEETING OF THE EUROPEAN FIBRES GROUP, ZURICH (SWITZERLAND), 9-11 JUNE, 1999 [7 ZJAZD EUROPEJSKIEJ GRUPY ROBOCZEJ DS. WLOKIEN, ZURYCH (SZWAJCARIA), 9- 11 CZERWCA 1999 ROKU]"	1999	"WAS-GUBALA J"	""	""	""	"ANALYTICAL EQUIPMENT;CONFERENCE PAPER;FIBER;FORENSIC IDENTIFICATION;LABORATORY TEST;RESEARCH;SYMPOSIUM"	NA	"NA"	"NA"	""	"Z ZAGADNIEN NAUK SADOWYCH"	"CONFERENCE PAPER"	"Scopus"	""
"9649 FORENSIC WEB WATCH - DNA IN FORENSIC SCIENCE"	2004	"BOWYER VL;GRAHAM EAM;RUTTY GN"	""	""	"DNA;  INTERNET;  PROFILING;  STR"	"DNA;ARTICLE;DNA DETERMINATION;FORENSIC MEDICINE;INTERNET;OFFENDER;PRACTICE GUIDELINE;PUBLICATION;SHORT TANDEM REPEAT;VICTIM;DNA FINGERPRINTING;MITOCHONDRIAL;GREAT BRITAIN;HISTORY;20TH CENTURY;HUMANS;TANDEM REPEAT SEQUENCES"	NA	"FORENSIC PATHOLOY UNIT,DEPT. OF CAN. STUDIES/MOLEC. PATHOL.,UNIVERSITY OF LEICESTER,R. KILPATRICK BUILDING,LEICESTER LE2 7LX,UNITED KINGDOM"	"FORENSIC PATHOLOY UNIT,DEPT. OF CAN. STUDIES/MOLEC. PATHOL.,UNIVERSITY OF LEICESTER,R. KILPATRICK BUILDING,LEICESTER LE2 7LX,UNITED KINGDOM"	"10.1016/j.jcfm.2004.07.002"	"JOURNAL OF CLINICAL FORENSIC MEDICINE"	"ARTICLE"	"Scopus"	";DNA;INTERNET;PROFILING;STR"
"A 3D VIEW ON THE `CROSSING LINES' PROBLEM IN DOCUMENT INVESTIGATION"	2002	"BERX V;DE KINDER J"	""	""	"CROSSING LINES;  FORENSICS;  LASER PROFILOMETRY;  QUESTIONED DOCUMENTS;  TOPOGRAPHY;  WRITING SEQUENCE"	"ATOMIC FORCE MICROSCOPY;PROFILOMETRY;SCANNING ELECTRON MICROSCOPY;SENSORS;LASER PROFILOMETRY;INFORMATION RETRIEVAL SYSTEMS"	NA	"NATIONAAL INSTITUUT VOOR CRIMINALISTIEK EN CRIMINOLOGIE (NICC/INCC),VILVOORDSESTEENWEG 98/100,B-1120 BRUSSELS,BELGIUM"	"NATIONAAL INSTITUUT VOOR CRIMINALISTIEK EN CRIMINOLOGIE (NICC/INCC),VILVOORDSESTEENWEG 98/100,B-1120 BRUSSELS,BELGIUM"	"10.1117/12.474731"	"PROCEEDINGS OF SPIE-THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	"ARTICLE"	"Scopus"	";CROSSING LINES;FORENSICS;LASER PROFILOMETRY;QUESTIONED DOCUMENTS;TOPOGRAPHY;WRITING SEQUENCE"
"A CANNABIS SATIVA STR GENOTYPE DATABASE FOR AUSTRALIAN SEIZURES: FORENSIC APPLICATIONS AND LIMITATIONS"	2009	"HOWARD C;GILMORE S;ROBERTSON J;PEAKALL R"	"FORENSIC SCIENCE; DNA TYPING; CANNABIS SATIVA; SHORT TANDEM REPEAT; GENOTYPE DATABASE; ANUCS301; ANUCS302; ANUCS303; ANUCS304; ANUCS305; ANUCS501; B01-CANN1; B05-CANN1; B02-CANN2; C11-CANN1"	"MARKER-ASSISTED SELECTION; MICROSATELLITE MARKERS; DNA EVIDENCE;; MARIJUANA; IDENTIFICATION; RELATEDNESS; PRODUCTS; GENETICS; IDENTITY;; BOTANY"	"ANUCS301;  ANUCS302;  ANUCS303;  ANUCS304;  ANUCS305;  ANUCS501;  B01-CANN1;  B02-CANN2;  B05-CANN1;  C11-CANN1;  CANNABIS SATIVA;  DNA TYPING;  FORENSIC SCIENCE;  GENOTYPE DATABASE;  SHORT TANDEM REPEAT"	"CANNABIS;ALLELE;ARTICLE;AUSTRALIA;GENETIC ANALYSIS;GENETIC DATABASE;GENETIC VARIABILITY;GENOTYPE;NONHUMAN;PHYSICAL ANTHROPOLOGY;PRIORITY JOURNAL;SEIZURE;TANDEM REPEAT;VALIDATION STUDY;DATABASES;FACTUAL;DNA;PLANT;DRUG AND NARCOTIC CONTROL;GENE FREQUENCY;GENETIC VARIATION;HUMANS;MODELS;STATISTICAL;POLYMERASE CHAIN REACTION;TANDEM REPEAT SEQUENCES"	"PEAKALL, R (CORRESPONDING AUTHOR), AUSTRALIAN NATL UNIV, SCH BOT \& ZOOL, GPO BOX 4, CANBERRA, ACT 0200, AUSTRALIA; HOWARD, CHRISTOPHER; PEAKALL, ROD, AUSTRALIAN NATL UNIV, SCH BOT \& ZOOL, CANBERRA, ACT 0200, AUSTRALIA; GILMORE, SIMON, CANBERRA INST TECHNOL, CTR FORENS SCI, CANBERRA, ACT 2601, AUSTRALIA; ROBERTSON, JAMES, AUSTRALIAN FED POLICE, FORENS \& TECH, CANBERRA, ACT 2601, AUSTRALIA"	"SCHOOL OF BOTANY AND ZOOLOGY,AUSTRALIAN NATIONAL UNIVERSITY,CANBERRA,ACT 0200,AUSTRALIA; CENTRE FOR FORENSIC SCIENCE,CANBERRA INSTITUTE OF TECHNOLOGY,GPO BOX 826,ACT 2601,AUSTRALIA; FORENSIC AND TECHNICAL,AUSTRALIAN FEDERAL POLICE,GPO BOX 401,AUSTRALIA"	"SCHOOL OF BOTANY AND ZOOLOGY,AUSTRALIAN NATIONAL UNIVERSITY,CANBERRA,ACT 0200,AUSTRALIA; CENTRE FOR FORENSIC SCIENCE,CANBERRA INSTITUTE OF TECHNOLOGY,GPO BOX 826,ACT 2601,AUSTRALIA; FORENSIC AND TECHNICAL,AUSTRALIAN FEDERAL POLICE,GPO BOX 401,AUSTRALIA"	"10.1111/j.1556-4029.2009.01014.x"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;DNA TYPING;CANNABIS SATIVA;SHORT TANDEM REPEAT;GENOTYPE DATABASE;ANUCS301;ANUCS302;ANUCS303;ANUCS304;ANUCS305;ANUCS501;B01-CANN1;B05-CANN1;B02-CANN2;C11-CANN1"
"A CAPILLARY-BASED PROBE FOR IN SITU DETECTION OF ENHANCED FLUORESCENCE SIGNALS"	2013	"LONG F;XIAO R;ZHU AN;SHI HC;WANG SQ"	""	"LASER-INDUCED FLUORESCENCE"	""	"NA"	"LONG, F (CORRESPONDING AUTHOR), RENMIN UNIV CHINA, SCH ENVIRONM \& NAT RESOURCES, 59 ZHONGGUANCUN, BEIJING 100872, PEOPLES R CHINA; LONG, F, RENMIN UNIV CHINA, SCH ENVIRONM \& NAT RESOURCES, BEIJING 100872, PEOPLES R CHINA; XIAO, R; WANG, S Q, BEIJING INST RADIAT MED, BEIJING 100850, PEOPLES R CHINA; ZHU, A N; SHI, H C, TSINGHUA UNIV, SCH ENVIRONM, BEIJING 100084, PEOPLES R CHINA"	"SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES,RENMIN UNIVERSITY OF CHINA,NO. 59,ZHONGGUANCUN,HAIDIAN,BEIJING 100872,CHINA; BEIJING INSTITUTE OF RADIATION MEDICINE,BEIJING 100850,CHINA; SCHOOL OF ENVIRONMENT,TSINGHUA UNIVERSITY,NO. 1,TSINGHUA YUAN,BEIJING 100084,CHINA"	"SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES,RENMIN UNIVERSITY OF CHINA,NO. 59,ZHONGGUANCUN,HAIDIAN,BEIJING 100872,CHINA; BEIJING INSTITUTE OF RADIATION MEDICINE,BEIJING 100850,CHINA; SCHOOL OF ENVIRONMENT,TSINGHUA UNIVERSITY,NO. 1,TSINGHUA YUAN,BEIJING 100084,CHINA"	"10.1088/1612-2011/10/7/075608"	"LASER PHYSICS LETTERS"	"ARTICLE"	"Scopus,WebOfScience"	""
"A CASE OF BEHEADING: CRIME OR ACCIDENT?"	1999	"GROZA IL;ZAVOI R;STANCA L;MITROI G"	""	""	"ACCIDENT;  BEHEADING;  CRIME;  ELASTIC FIBERS"	"ALCOHOL;COLLAGEN FIBER;ACCIDENT;AGED;ALCOHOL BLOOD LEVEL;ARTICLE;AUTOPSY;CASE REPORT;CRIME;ELASTIC FIBER;FORENSIC MEDICINE;HISTOPATHOLOGY;HUMAN;MALE"	NA	"UNIV. OF MEDICINE/PHARMACY CRAIOVA,STR. V. ALECSANDRI,18,1100 CRAIOVA,ROMANIA"	"UNIV. OF MEDICINE/PHARMACY CRAIOVA,STR. V. ALECSANDRI,18,1100 CRAIOVA,ROMANIA"	""	"ROMANIAN JOURNAL OF LEGAL MEDICINE"	"ARTICLE"	"Scopus"	";ACCIDENT;BEHEADING;CRIME;ELASTIC FIBERS"
