Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,ID,Document Type,Publication Stage,Access Type,Source,EID,Coder
"Carr D., Kieser J., Mabbott A., Mott C., Champion S., Girvan E.",8049037200;35563406800;55651176800;55651590300;7004093224;8915238400;,Damage to apparel layers and underlying tissue due to hand-gun bullets,2014,International Journal of Legal Medicine,128,1,,83,93,,16,10.1007/s00414-013-0856-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891828100&doi=10.1007%2fs00414-013-0856-1&partnerID=40&md5=ea755b92f864dbec2048e022da9a858a,"Department of Engineering and Applied Science, Cranfield University, Defence Academy of the United Kingdom, Shrivenham, Wiltshire SN6 8LA, United Kingdom; Sir John Walsh Research Institute, University of Otago, Dunedin, New Zealand; Otago Centre for Electron Microscopy, University of Otago, Dunedin, New Zealand","Carr, D., Department of Engineering and Applied Science, Cranfield University, Defence Academy of the United Kingdom, Shrivenham, Wiltshire SN6 8LA, United Kingdom; Kieser, J., Sir John Walsh Research Institute, University of Otago, Dunedin, New Zealand; Mabbott, A., Department of Engineering and Applied Science, Cranfield University, Defence Academy of the United Kingdom, Shrivenham, Wiltshire SN6 8LA, United Kingdom; Mott, C., Department of Engineering and Applied Science, Cranfield University, Defence Academy of the United Kingdom, Shrivenham, Wiltshire SN6 8LA, United Kingdom; Champion, S., Department of Engineering and Applied Science, Cranfield University, Defence Academy of the United Kingdom, Shrivenham, Wiltshire SN6 8LA, United Kingdom; Girvan, E., Otago Centre for Electron Microscopy, University of Otago, Dunedin, New Zealand",Bony wounds; Bullets; Clothing; Handguns,"animal; bone; clothing; comparative study; cotton; disease model; firearm; gunshot injury; human; pathology; review; scanning electron microscopy; swine; thorax; thorax injury; Animals; Bone and Bones; Clothing; Cotton Fiber; Disease Models, Animal; Firearms; Humans; Microscopy, Electron, Scanning; Swine; Thoracic Injuries; Thorax; Wounds, Gunshot",,Review,Final,,Scopus,2-s2.0-84891828100,2016
"Cail K., Klatt E.",55883525800;57198229309;,The effect of intermediate clothing targets on shotgun ballistics,2013,American Journal of Forensic Medicine and Pathology,34,4,,348,351,,4,10.1097/PAF.0000000000000051,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892824365&doi=10.1097%2fPAF.0000000000000051&partnerID=40&md5=14e2c155c4237b6f5dbe9bdfda4248c6,"Mercer University, School of Medicine, 4700 Waters Avenue, Savannah, GA 31404, United States","Cail, K., Mercer University, School of Medicine, 4700 Waters Avenue, Savannah, GA 31404, United States; Klatt, E., Mercer University, School of Medicine, 4700 Waters Avenue, Savannah, GA 31404, United States",Ballistics; Fabric; Intermediate target; Pellets; Shotgun,"gelatin; article; ballistics; biological model; clothing; firearm; gunshot injury; human; textile; Clothing; Firearms; Forensic Ballistics; Gelatin; Humans; Models, Biological; Textiles; Wounds, Gunshot",,Article,Final,,Scopus,2-s2.0-84892824365,2016
"Carr D.J., Mitchell J.L., Niven B.E., Girvan E., Carney S.",8049037200;55237491300;7003706196;8915238400;57162716200;,Development of a laboratory test for knicker tearing re-creation studies,2016,Forensic Science International,262,,,138,142,,2,10.1016/j.forsciint.2016.02.038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960460843&doi=10.1016%2fj.forsciint.2016.02.038&partnerID=40&md5=bec5bbe6b287978c587cd6a81c1f2758,"Impact and Armour Group, Centre for Defence Engineering, Cranfield University at the Defence Academy of the United Kingdom, Shrivenham, SN6 8LA, United Kingdom; Centre for Applications of Statistics and Mathematics, University of Otago, PO Box 56, Dunedin, New Zealand; Otago Centre for Electron Microscopy, University of Otago, PO Box 56, Dunedin, New Zealand; Ethos Forensics, Manchester, M32 0PP, United Kingdom","Carr, D.J., Impact and Armour Group, Centre for Defence Engineering, Cranfield University at the Defence Academy of the United Kingdom, Shrivenham, SN6 8LA, United Kingdom; Mitchell, J.L., Impact and Armour Group, Centre for Defence Engineering, Cranfield University at the Defence Academy of the United Kingdom, Shrivenham, SN6 8LA, United Kingdom; Niven, B.E., Centre for Applications of Statistics and Mathematics, University of Otago, PO Box 56, Dunedin, New Zealand; Girvan, E., Otago Centre for Electron Microscopy, University of Otago, PO Box 56, Dunedin, New Zealand; Carney, S., Ethos Forensics, Manchester, M32 0PP, United Kingdom",False claims; G-string; Rape; Sexual assault; Thongs,Article; clothing; controlled study; degradation; fabric thickness; garment mass; laboratory test; laundry; physical phase; priority journal; tensile strength; clothing; deception; female; forensic science; human; muscle strength; procedures; rape; tensile strength; Clothing; Deception; Female; Forensic Sciences; Humans; Laundering; Muscle Strength; Rape; Tensile Strength,,Article,Final,,Scopus,2-s2.0-84960460843,2016
"Geisenberger D., Wuest F., Bielefeld L., Große Perdekamp M., Pircher R., Pollak S., Thierauf-Emberger A., Huppertz L.M.",55660370900;57190800827;54787442600;57050645100;55512216400;7103341767;56290721500;55660465200;,Fat from contused adipose tissue may cause yellow discoloration of clothes in blunt trauma victims,2014,Forensic Science International,245,,,72,76,,1,10.1016/j.forsciint.2014.10.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983171271&doi=10.1016%2fj.forsciint.2014.10.022&partnerID=40&md5=8824281028e92d13506fbc56f4d2d67b,"Institute of Forensic Medicine, Freiburg University Medical Centre, Freiburg, Germany; Faculty of Biology, University of Freiburg, Freiburg, Germany","Geisenberger, D., Institute of Forensic Medicine, Freiburg University Medical Centre, Freiburg, Germany; Wuest, F., Faculty of Biology, University of Freiburg, Freiburg, Germany; Bielefeld, L., Institute of Forensic Medicine, Freiburg University Medical Centre, Freiburg, Germany; Große Perdekamp, M., Institute of Forensic Medicine, Freiburg University Medical Centre, Freiburg, Germany; Pircher, R., Institute of Forensic Medicine, Freiburg University Medical Centre, Freiburg, Germany; Pollak, S., Institute of Forensic Medicine, Freiburg University Medical Centre, Freiburg, Germany; Thierauf-Emberger, A., Institute of Forensic Medicine, Freiburg University Medical Centre, Freiburg, Germany; Huppertz, L.M., Institute of Forensic Medicine, Freiburg University Medical Centre, Freiburg, Germany",Adipose tissue; Blunt trauma; Body fat; Discoloration of textiles; Fatty acids,oleic acid; fatty acid; adipose tissue; adult; aged; Article; autopsy; blunt trauma; body fat; body mass; clinical article; clothes yellow discoloration; contusion; female; forensic identification; forensic science; human; lipid composition; male; mass fragmentography; middle aged; penetrating trauma; priority journal; suicide; traffic accident; young adult; adipose tissue; chemistry; clothing; color; contusion; injuries; pathology; Adipose Tissue; Aged; Clothing; Color; Contusions; Fatty Acids; Female; Gas Chromatography-Mass Spectrometry; Humans; Male; Middle Aged; Young Adult,,Article,Final,,Scopus,2-s2.0-84983171271,2016
"Lowe A.C., Beresford D.V., Carter D.O., Gaspari F., O'Brien R.C., Stuart B.H., Forbes S.L.",55797563600;14069883800;7402372823;7006683727;23051904300;7102231958;7102524526;,The effect of soil texture on the degradation of textiles associated with buried bodies,2013,Forensic Science International,231,01-Mar,,331,339,,7,10.1016/j.forsciint.2013.05.037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880355982&doi=10.1016%2fj.forsciint.2013.05.037&partnerID=40&md5=a6a27b5e58259399c7edb9d7db36e675,"Faculty of Science, University of Ontario Institute of Technology, 2000 Simcoe Street North, Oshawa, ON L1H 7K4, Canada; Department of Biology, Trent University, 1600 West Bank Drive, Peterborough, ON K9J 7B8, Canada; Department of Entomology, University of Nebraska-Lincoln, 302 Biochemistry Hall, Lincoln, NE 68583-0816, United States; Forensic Science Institute, University of Central Oklahoma, 100 North University Drive, Box 203, Edmond, OK 73034, United States; Centre for Forensic Science, University of Technology, Sydney, Po Box 123, Broadway, NSW 2007, Australia; Laboratory of Forensic Taphonomy, Division of Natural Sciences and Mathematics, Chaminade University of Honolulu, 3140 Waialae Avenue, Honolulu 96816, United States","Lowe, A.C., Faculty of Science, University of Ontario Institute of Technology, 2000 Simcoe Street North, Oshawa, ON L1H 7K4, Canada; Beresford, D.V., Department of Biology, Trent University, 1600 West Bank Drive, Peterborough, ON K9J 7B8, Canada; Carter, D.O., Department of Entomology, University of Nebraska-Lincoln, 302 Biochemistry Hall, Lincoln, NE 68583-0816, United States, Laboratory of Forensic Taphonomy, Division of Natural Sciences and Mathematics, Chaminade University of Honolulu, 3140 Waialae Avenue, Honolulu 96816, United States; Gaspari, F., Faculty of Science, University of Ontario Institute of Technology, 2000 Simcoe Street North, Oshawa, ON L1H 7K4, Canada; O'Brien, R.C., Forensic Science Institute, University of Central Oklahoma, 100 North University Drive, Box 203, Edmond, OK 73034, United States; Stuart, B.H., Centre for Forensic Science, University of Technology, Sydney, Po Box 123, Broadway, NSW 2007, Australia; Forbes, S.L., Faculty of Science, University of Ontario Institute of Technology, 2000 Simcoe Street North, Oshawa, ON L1H 7K4, Canada",Decomposition; Fatty acids; Gas chromatography-mass spectrometry; Infrared spectroscopy; Soil texture; Textile degradation,"fatty acid; lipid; myristic acid; oleic acid; palmitic acid; palmitoleic acid; stearic acid; animal tissue; article; autolysis; clay; controlled study; degradation; infrared spectroscopy; lipid composition; lipid degradation; mass fragmentography; nonhuman; preservation; priority journal; sandy loam; soil texture; taphonomy; textile; Decomposition; Fatty acids; Gas chromatography-mass spectrometry; Infrared spectroscopy; Soil texture; Textile degradation; Animals; Burial; Exhumation; Fatty Acids; Forensic Pathology; Gas Chromatography-Mass Spectrometry; Models, Animal; Postmortem Changes; Soil; Spectroscopy, Fourier Transform Infrared; Swine; Textiles; Triglycerides",,Article,Final,,Scopus,2-s2.0-84880355982,2016
"Ueland M., Nizio K.D., Forbes S.L., Stuart B.H.",55832747800;55005740100;7102524526;7102231958;,The interactive effect of the degradation of cotton clothing and decomposition fluid production associated with decaying remains,2015,Forensic Science International,255,,,56,63,,6,10.1016/j.forsciint.2015.05.029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942552733&doi=10.1016%2fj.forsciint.2015.05.029&partnerID=40&md5=6dd1e42e2d43a9eb0393fbc116049e68,"Centre for Forensic Science, University of Technology Sydney, PO Box 123, Broadway, NSW  2007, Australia","Ueland, M., Centre for Forensic Science, University of Technology Sydney, PO Box 123, Broadway, NSW  2007, Australia; Nizio, K.D., Centre for Forensic Science, University of Technology Sydney, PO Box 123, Broadway, NSW  2007, Australia; Forbes, S.L., Centre for Forensic Science, University of Technology Sydney, PO Box 123, Broadway, NSW  2007, Australia; Stuart, B.H., Centre for Forensic Science, University of Technology Sydney, PO Box 123, Broadway, NSW  2007, Australia",Forensic taphonomy; GC-MS; Infrared spectroscopy; Lipid; Protein; Textiles,"animal experiment; Article; carcass; clothing; controlled study; cotton; decomposition; degradation; domestic pig; forensic identification; Fourier transform infrared photoacoustic spectroscopy; gas chromatography; lipid analysis; mass spectrometry; nonhuman; priority journal; protein analysis; textile fiber; animal; animal model; chemistry; infrared spectroscopy; multivariate analysis; pig; postmortem change; amide; lipid; Amides; Animals; Clothing; Lipids; Mass Spectrometry; Models, Animal; Multivariate Analysis; Postmortem Changes; Spectroscopy, Fourier Transform Infrared; Swine",,Article,Final,,Scopus,2-s2.0-84942552733,2016
"Roux C., Robertson J.",,Transfer,2013,Professional Issues in Forensic Science. 1st Edition,,,,36,39,,,,"University of Technology, Sydney, NSW, Australia; University of Canberra, Canberra, ACT, Australia","Roux, C., University of Technology, Sydney, NSW, Australia; Robertson, J., University of Canberra, Canberra, ACT, Australia",,Fabric construction; Fibers; Locard; Trace evidence; Transfer,,,Book Chapter,,,,,2016
"Schnegg M., Gueissaz L., Rodriguez J., Hess S., Massonnet G.",,Transfer of Fibres onto Knife Blades in Stabbing Events: Distribution and Determination of the Stabbing Sequence,2015,Journal of Forensic Science and Medicine,1,2,,84,92,,,10.4103/2349-5014.164659,http://www.jfsmonline.com/article.asp?issn=2349-5014;year=2015;volume=1;issue=2;spage=84;epage=92;aulast=Schnegg,"School of Criminal Justice, Faculty of Law, Criminal Justice and Public Administration, University of Lausanne, Lausanne, Zürich, Switzerland; Forensic Science Institute Zürich, Zurich, Switzerland","Schnegg M., School of Criminal Justice, Faculty of Law, Criminal Justice and Public Administration, University of Lausanne, Lausanne, Zürich, Switzerland; Gueissaz L., School of Criminal Justice, Faculty of Law, Criminal Justice and Public Administration, University of Lausanne, Lausanne, Zürich, Switzerland; Rodriguez J., School of Criminal Justice, Faculty of Law, Criminal Justice and Public Administration, University of Lausanne, Lausanne, Zürich, Switzerland; Hess S., Forensic Science Institute Zürich, Zurich, Switzerland; Massonnet G., School of Criminal Justice, Faculty of Law, Criminal Justice and Public Administration, University of Lausanne, Lausanne, Zürich, Switzerland",Damage to textiles; fibre localization; secondary transfer; stabbing simulations; transfer sequence,,,Article,,,,,2016
"DeBattista R., Tidy H., Thompson T.J.U., Robertson P.",55895262500;56091293300;7401552868;56091081200;,An investigation into the persistence of textile fibres on buried carcasses,2014,Science and Justice,54,4,,288,291,,4,10.1016/j.scijus.2014.03.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903819018&doi=10.1016%2fj.scijus.2014.03.002&partnerID=40&md5=bc235b5c937317094851c780de9f7c38,"School of Science and Engineering, Teesside University, Middlesbrough, Cleveland TS1 3BA, United Kingdom","DeBattista, R., School of Science and Engineering, Teesside University, Middlesbrough, Cleveland TS1 3BA, United Kingdom; Tidy, H., School of Science and Engineering, Teesside University, Middlesbrough, Cleveland TS1 3BA, United Kingdom; Thompson, T.J.U., School of Science and Engineering, Teesside University, Middlesbrough, Cleveland TS1 3BA, United Kingdom; Robertson, P., School of Science and Engineering, Teesside University, Middlesbrough, Cleveland TS1 3BA, United Kingdom",Burial; Fibre persistence; Forensic archaeology; Forensic science; Skin; Taphonomy,"article; carcass; cotton; decomposition; maggot; nonhuman; photography; skin; soil; swine; textile fiber; ultraviolet radiation; wool; adhesion; animal tissue; Article; cotton; forensic science; hindlimb; physical anthropology; pig; posthumous care; taphonomy; wool; Burial; Fibre persistence; Forensic archaeology; Forensic science; Skin; Taphonomy; Animals; Burial; Exhumation; Forensic Pathology; Models, Animal; Postmortem Changes; Skin; Swine; Textiles; Ultraviolet Rays",,Article,Final,,Scopus,2-s2.0-84903819018,2016
"Hong S., Han A., Kim S., Son D., Min H.",56525616100;56526253000;56526127200;56526166900;56526108100;,Transfer of fibres on the hands of living subjects and their persistence during hand washing,2014,Science and Justice,54,6,,451,458,,3,10.1016/j.scijus.2014.09.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926200214&doi=10.1016%2fj.scijus.2014.09.002&partnerID=40&md5=e0777a971cf79edb5085208ed4fcbc59,"Graduate School of Forensic Sciences, Soonchunhyang University, Asan, 336-745, South Korea","Hong, S., Graduate School of Forensic Sciences, Soonchunhyang University, Asan, 336-745, South Korea; Han, A., Graduate School of Forensic Sciences, Soonchunhyang University, Asan, 336-745, South Korea; Kim, S., Graduate School of Forensic Sciences, Soonchunhyang University, Asan, 336-745, South Korea; Son, D., Graduate School of Forensic Sciences, Soonchunhyang University, Asan, 336-745, South Korea; Min, H., Graduate School of Forensic Sciences, Soonchunhyang University, Asan, 336-745, South Korea",Hands; Persistence; Texture; Transfer; Washing,tap water; adult; Article; cutaneous parameters; female; forensic science; hand texture; hand washing; human; male; normal human; offender; textile fiber; forensic medicine; microscopy; textile; Female; Forensic Medicine; Hand Disinfection; Humans; Male; Microscopy; Textiles,,Article,Final,,Scopus,2-s2.0-84926200214,2016
"Lepot L., Vanden Driessche T., Lunstroot K., Gason F., De Wael K.",15021035100;55497349700;15136212400;14038614100;23491995600;,Fibre persistence on immersed garment-Influence of knitted recipient fabrics,2015,Science and Justice,55,4,,248,253,,7,10.1016/j.scijus.2015.02.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930924794&doi=10.1016%2fj.scijus.2015.02.006&partnerID=40&md5=fe456e60a6c0fa9c7bb4b032a86b5ac8,"National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Chaussée de Vilvorde 100, Brussels, B-1120, Belgium","Lepot, L., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Chaussée de Vilvorde 100, Brussels, B-1120, Belgium; Vanden Driessche, T., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Chaussée de Vilvorde 100, Brussels, B-1120, Belgium; Lunstroot, K., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Chaussée de Vilvorde 100, Brussels, B-1120, Belgium; Gason, F., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Chaussée de Vilvorde 100, Brussels, B-1120, Belgium; De Wael, K., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Chaussée de Vilvorde 100, Brussels, B-1120, Belgium",Forensic fibre investigation; Persistence; Recipient garment; Underwater conditions,polyester; Article; clothing; density; immersion; surface property; textile fiber,,Article,Final,,Scopus,2-s2.0-84930924794,2016
"Lepot L., Vanden Driessche T.",15021035100;55497349700;,Fibre persistence on immersed garment - Influence of water flow and stay in running water,2015,Science and Justice,55,6,,431,436,,4,10.1016/j.scijus.2015.09.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945970404&doi=10.1016%2fj.scijus.2015.09.003&partnerID=40&md5=875eb3fadbe6ff744b78aa1326357d76,"National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Chaussée de Vilvorde 100, Brussels, B-1120, Belgium","Lepot, L., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Chaussée de Vilvorde 100, Brussels, B-1120, Belgium; Vanden Driessche, T., National Institute for Criminalistics and Criminology, Fibres and Textiles Laboratory, Chaussée de Vilvorde 100, Brussels, B-1120, Belgium",Activity; Forensic fibre investigation; Retention; Underwater conditions; Waterway,rain; tap water; water; Article; cotton; fiber; textile,,Article,Final,,Scopus,2-s2.0-84945970404,2016
Gwinnett C.,,The persistence of fibres in water environments,2015,"Proceedings of the 7th European Academy of Forensic Science Conference, Praha",,,,,,,,,,,,,,,Proceedings,,,,,2016
