Title	ACRYLIC	ANALYSIS	BAYESIAN APPROACH	BLOOD	CAPILLARY ELECTROPHORESIS (CE)	CLOTHING	COLOUR	COMPARISON	COTTON	CRIMINALISTIC	DATABASE	DEGRADATION	DICHROISM	DISPERSE DYES	DYE	EVIDENTIAL VALUE	FIBRE	FIBRE ANALYSIS	FIBRE EVIDENCE	FIBRE EXAMINATION	FIBRE IDENTIFICATION	FIBRE RECOVERY	FIBRE TRANSFER	FINGERPRINTS	FLUORESCENCE	FORENSIC ANALYSIS	FORENSIC SCIENCE	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	FREQUENCY	GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)	HAIR	HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)	IDENTIFICATION	INFRARED	INFRARED SPECTROSCOPY (IR)	INK	INTERPRETATION	LIKELIHOOD RATIO	MASS SPECTROMETRY (MS)	MICROSCOPY	MICROSPECTROPHOTOMETRY (MSP)	PAINT	PERSISTENCE	PIGMENTS	POLARIZED LIGHT MICROSCOPY	POLYESTER	PRINCIPAL COMPONENT ANALYSIS (PCA)	RAMAN	REACTIVE DYE	RECOVERY	SCANNING ELECTRON MICROSCOPY (SEM)	SINGLE FIBRE	SOIL	SPECTROPHOTOMETRY	SPECTROSCOPY	STATISTICS	SYNTHETIC FIBRE	TARGET FIBRE STUDY	TEXTILE	TEXTILE FIBRE	THIN-LAYER CHROMATOGRAPHY (TLC)	TRACE EVIDENCE	TRANSFER	URINE	VISCOSE	WOOL
A COMPARISON OF EFFICIENCY OF MANUAL AND AUTOMATIC FIBRES SEARCH WITH THE MAXCAN FIBRE FINDER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPARISON OF PENETRATION AND DAMAGE CAUSED BY DIFFERENT TYPES OF ARROWHEADS ON LOOSE AND TIGHT FIT CLOTHING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPARISON OF PENETRATION AND DAMAGE CAUSED BY DIFFERENT TYPES OF ARROWHEADS ON LOOSE AND TIGHT FIT CLOTHING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPARISON OF PENETRATION AND DAMAGE CAUSED BY DIFFERENT TYPES OF ARROWHEADS ON LOOSE AND TIGHT FIT CLOTHING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPARISON OF PENETRATION AND DAMAGE CAUSED BY DIFFERENT TYPES OF ARROWHEADS ON LOOSE AND TIGHT FIT CLOTHING	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPARISON OF PENETRATION AND DAMAGE CAUSED BY DIFFERENT TYPES OF ARROWHEADS ON LOOSE AND TIGHT FIT CLOTHING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPARISON OF PENETRATION AND DAMAGE CAUSED BY DIFFERENT TYPES OF ARROWHEADS ON LOOSE AND TIGHT FIT CLOTHING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS: A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING. PART 1: THE SYSTEM AND ITS OPERATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS: A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING. PART 1: THE SYSTEM AND ITS OPERATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS: A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING. PART 1: THE SYSTEM AND ITS OPERATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS: A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING. PART 1: THE SYSTEM AND ITS OPERATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A FLOWCHART SYSTEM FOR THE IDENTIFICATION OF COMMON SYNTHETIC FIBERS BY POLARIZED LIGHT MICROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A FLOWCHART SYSTEM FOR THE IDENTIFICATION OF COMMON SYNTHETIC FIBERS BY POLARIZED LIGHT MICROSCOPY	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A FLOWCHART SYSTEM FOR THE IDENTIFICATION OF COMMON SYNTHETIC FIBERS BY POLARIZED LIGHT MICROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A FLOWCHART SYSTEM FOR THE IDENTIFICATION OF COMMON SYNTHETIC FIBERS BY POLARIZED LIGHT MICROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A FLOWCHART SYSTEM FOR THE IDENTIFICATION OF COMMON SYNTHETIC FIBERS BY POLARIZED LIGHT MICROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A FURTHER STUDY OF DYE BATCH VARIATION IN TEXTILE AND CARPET FIBRES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A FURTHER STUDY OF DYE BATCH VARIATION IN TEXTILE AND CARPET FIBRES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A FURTHER STUDY OF DYE BATCH VARIATION IN TEXTILE AND CARPET FIBRES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A FURTHER STUDY OF DYE BATCH VARIATION IN TEXTILE AND CARPET FIBRES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A FURTHER STUDY OF DYE BATCH VARIATION IN TEXTILE AND CARPET FIBRES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A FURTHER STUDY OF DYE BATCH VARIATION IN TEXTILE AND CARPET FIBRES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A FURTHER STUDY OF DYE BATCH VARIATION IN TEXTILE AND CARPET FIBRES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A FURTHER STUDY OF DYE BATCH VARIATION IN TEXTILE AND CARPET FIBRES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A FURTHER STUDY OF DYE BATCH VARIATION IN TEXTILE AND CARPET FIBRES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A METHOD OF ASSESSING THE FIBRE SHEDDING POTENTIAL OF FABRICS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A METHOD OF ASSESSING THE FIBRE SHEDDING POTENTIAL OF FABRICS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A MORE EFFICIENT METHOD FOR SYNTHETIC TEXTILE FIBER ANALYSIS USING POLARIZED LIGHT MICROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A MORE EFFICIENT METHOD FOR SYNTHETIC TEXTILE FIBER ANALYSIS USING POLARIZED LIGHT MICROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A MORE EFFICIENT METHOD FOR SYNTHETIC TEXTILE FIBER ANALYSIS USING POLARIZED LIGHT MICROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A MORE EFFICIENT METHOD FOR SYNTHETIC TEXTILE FIBER ANALYSIS USING POLARIZED LIGHT MICROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A MORE EFFICIENT METHOD FOR SYNTHETIC TEXTILE FIBER ANALYSIS USING POLARIZED LIGHT MICROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A MORE EFFICIENT METHOD FOR SYNTHETIC TEXTILE FIBER ANALYSIS USING POLARIZED LIGHT MICROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A NEW METHOD FOR FIBER COMPARISON USING POLARIZED INFRARED MICROSPECTROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A NEW METHOD FOR FIBER COMPARISON USING POLARIZED INFRARED MICROSPECTROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A NEW METHOD FOR FIBER COMPARISON USING POLARIZED INFRARED MICROSPECTROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A NEW METHOD FOR FIBER COMPARISON USING POLARIZED INFRARED MICROSPECTROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A NEW METHOD FOR FIBER COMPARISON USING POLARIZED INFRARED MICROSPECTROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A NEW METHOD FOR FIBER COMPARISON USING POLARIZED INFRARED MICROSPECTROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A NEW METHOD FOR FIBER COMPARISON USING POLARIZED INFRARED MICROSPECTROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A NEW METHOD FOR FIBER COMPARISON USING POLARIZED INFRARED MICROSPECTROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A NEW METHOD FOR FIBER COMPARISON USING POLARIZED INFRARED MICROSPECTROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A NEW METHOD FOR FIBER COMPARISON USING POLARIZED INFRARED MICROSPECTROSCOPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A NEW METHOD FOR THE REMOVAL AND ANALYSIS OF SMALL PARTICLES ADHERING TO CARPET FIBER SURFACES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A NEW METHOD FOR THE REMOVAL AND ANALYSIS OF SMALL PARTICLES ADHERING TO CARPET FIBER SURFACES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A NEW METHOD FOR THE REMOVAL AND ANALYSIS OF SMALL PARTICLES ADHERING TO CARPET FIBER SURFACES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
