Authors	Author(s) ID	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	DOI	Link	Author Keywords	Index Keywords	Document Type	Publication Stage	Access Type	Source	EID
"Benson S., Lennard C., Maynard P., Roux C."	11641436800;7004674536;7003703574;7202017940;	Forensic applications of isotope ratio mass spectrometry - A review	2006	Forensic Science International	157	1		1	22		184	10.1016/j.forsciint.2005.03.012	https://www.scopus.com/inward/record.uri?eid=2-s2.0-30944452973&doi=10.1016%2fj.forsciint.2005.03.012&partnerID=40&md5=5715a0c680338185584ddd808c4aa9db	Explosives; Forensic applications; Ignitable liquids; Illicit drugs; Isotope ratio; Isotope ratio mass spectrometry; Stable isotopes	carbon; environmental chemical; explosive; hydrogen; illicit drug; isotope; nitrogen; oxygen; sulfur; archeology; forensic identification; forensic science; fractionation; hypothesis; isotope ratio mass spectrometry; kinetics; mass spectrometry; nutritional science; phytochemistry; priority journal; quality control; review; thermodynamics; wildlife	Article	Final		Scopus	2-s2.0-30944452973
"Tester D.J., Ackerman M.J."	7003653532;7102657891;	The role of molecular autopsy in unexplained sudden cardiac death	2006	Current Opinion in Cardiology	21	3		166	172		175	10.1097/01.hco.0000221576.33501.83	https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748141992&doi=10.1097%2f01.hco.0000221576.33501.83&partnerID=40&md5=cc248a28a9aaec2637daa51975b575a4	Catecholaminergic polymorphic ventricular tachycardia; Drowning; Long QT syndrome; Negative autopsy; SIDS; Sudden death	"aorta aneurysm; atherosclerosis; autopsy; cardiomyopathy; catecholaminergic system; cause of death; coronary artery anomaly; diagnostic accuracy; epidemiological data; genetic association; genetic risk; genetic screening; heart disease; heart muscle fiber membrane; heart ventricle tachycardia; human; long QT syndrome; medicolegal aspect; membrane channel; mutagenesis; myocarditis; priority journal; review; statistical analysis; sudden death; sudden infant death syndrome; valvular heart disease; Adolescent; Adult; Arrhythmia; Autopsy; Cause of Death; Child; Child, Preschool; Death, Sudden, Cardiac; Forensic Pathology; Heart Conduction System; Humans; Infant; Infant, Newborn; Mutation"	Review	Final		Scopus	2-s2.0-33748141992
"Efremov E.V., Ariese F., Gooijer C."	7005632316;7006296069;7005302003;	Achievements in resonance Raman spectroscopy. Review of a technique with a distinct analytical chemistry potential	2008	Analytica Chimica Acta	606	2		119	134		168	10.1016/j.aca.2007.11.006	https://www.scopus.com/inward/record.uri?eid=2-s2.0-36849092390&doi=10.1016%2fj.aca.2007.11.006&partnerID=40&md5=0bc2cfbaa9780813a105995f4cb687a7	Bioanalytical applications; Carbon nanotubes; Carotenoids; Excitation profiles; Fiber optics; Fluorescence rejection; Gated detection; Metalloproteins; Surface-enhanced Raman; Tip-enhanced Raman	"Carbon nanotubes; Dyes; Fiber optics; Nucleic acids; Pigments; Proteins; Bioanalytical applications; Carotenoids; Excitation profiles; Fluorescence rejection; Gated detection; Metalloproteins; Surface-enhanced Raman; Tip-enhanced Raman; Raman spectroscopy; albumin; carbon monoxide; carbon nanotube; carotenoid; copper; coumarin derivative; DNA; DNA topoisomerase (ATP hydrolysing); ibuprofen; iron; metalloporphyrin; metalloprotein; mineral; nitrogen oxide; novobiocin; nucleic acid; oxygen; palmitic acid; phenylalanine; phthalocyanine; protein; quinoline derivative; RNA; single walled nanotube; titanium dioxide; tryptophan; tyrosine; uracil; virus DNA; warfarin; art; bacterial strain; capillary electrophoresis; chemistry; DNA fingerprinting; drug mechanism; Escherichia coli; fiber optics; fluorescence; forensic medicine; human; intermethod comparison; liquid chromatography; nonhuman; photooxidation; priority journal; protein interaction; quantitative analysis; Raman spectrometry; review; sensitivity analysis; separation technique; theoretical model; ultraviolet radiation; X ray diffraction; Carotenoids; Light; Metalloproteins; Nanotubes, Carbon; Nucleic Acids; Proteins; Spectrum Analysis, Raman; Ultraviolet Rays"	Review	Final		Scopus	2-s2.0-36849092390
Osterholm J.L.	7004450525;	The pathophysiological response to spinal cord injury. The current status of related research	1974	Journal of Neurosurgery	40	1		3	33		153	10.3171/jns.1974.40.1.0003	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015985497&doi=10.3171%2fjns.1974.40.1.0003&partnerID=40&md5=f81c599f2bfc8bb8d72c447527893853		"melampolide; unclassified drug; catecholamine; bleeding; cordotomy; forensic medicine; histology; hypothermia; hypoxia; injury; major clinical study; microcirculation; necrosis; paraplegia; spinal cord; spinal cord injury; spinal cord ischemia; spinal cord transverse lesion; therapy; Animal; Anoxia; Catecholamines; Disease Models, Animal; Dopamine; Fluorescence; Glucocorticoids; Hemorrhage; Histocytochemistry; Human; Hypothermia, Induced; Lactates; Microcirculation; Necrosis; Nerve Fibers, Myelinated; Neural Conduction; Norepinephrine; Oxygen Consumption; Regional Blood Flow; Spinal Cord; Spinal Cord Injuries; Spinal Nerve Roots; Synaptic Vesicles; Urea"	Article	Final		Scopus	2-s2.0-0015985497
"Kataoka H., Saito K."	7202767326;55193529300;	Recent advances in SPME techniques in biomedical analysis	2011	Journal of Pharmaceutical and Biomedical Analysis	54	5		926	950		148	10.1016/j.jpba.2010.12.010	https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751702509&doi=10.1016%2fj.jpba.2010.12.010&partnerID=40&md5=240e1d867f3307cbf263246468d03cb3	Biomedical analysis; Fiber solid-phase microextraction; Forensic analysis; In-tube solid-phase microextraction; Sample preparation	7 aminoflunitrazepam; adrenergic receptor blocking agent; analgesic agent; anesthetic agent; anticonvulsive agent; antidepressant agent; benzodiazepine derivative; beta adrenergic receptor blocking agent; beta adrenergic receptor stimulating agent; captopril; clenbuterol; dextromethorphan; diazepam; fenoterol; fluoxetine; loperamide; methoxyfenoterol; naproxen; nordazepam; norfluoxetine; oxazepam; propofol; propranolol; pseudoephedrine; serotonin uptake inhibitor; tricyclic antidepressant agent; unclassified drug; unindexed drug; valproic acid; verapamil; warfarin; automation; biocompatibility; biomedicine; capillary electrochromatography; capillary zone electrophoresis; diagnostic procedure; drug bioavailability; drug blood level; drug determination; drug metabolism; drug tissue level; drug urine level; environmental exposure; fiber; fluorescence spectroscopy; forensic medicine; health hazard; high performance liquid chromatography; human; liquid chromatography tandem mass spectrometry; mass fragmentography; material coating; maximum plasma concentration; nonhuman; occupational exposure; pharmacological parameters; priority journal; review; solid phase extraction; solid phase microextraction; tandem mass spectrometry; toxicological parameters; Animals; Biomedical Technology; Environmental Exposure; Environmental Pollutants; Humans; Pharmaceutical Preparations; Solid Phase Microextraction	Review	Final		Scopus	2-s2.0-78751702509
Kokosa J.M.	6701731087;	Advances in solvent-microextraction techniques	2013	TrAC - Trends in Analytical Chemistry	43			2	13		147	10.1016/j.trac.2012.09.020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873292611&doi=10.1016%2fj.trac.2012.09.020&partnerID=40&md5=4d1e1b5faf8bd8c3055742d0ba837496	Dispersive liquid-liquid microextraction (DLLME); Exposed solvent; Headspace single-drop microextraction (HS-SDME); Hollow fiber-protected 3-phase microextraction [HF(3)ME]; Hollow-fiber-protected 2-phase microextraction [HF(2)ME]; Liquid-liquid microextraction (LLME); Liquid-liquid-liquid microextraction (LLLME); Membrane-protected solvent; Single-drop microextraction (SDME); Solvent microextraction (SME)	Drops; Emulsification; Fibers; Ionic liquids; Solvents; Dispersive liquid-liquid microextraction; Headspace single drop microextraction; Liquid-liquid microextraction; Liquid-liquid-liquid microextraction; Microextraction; Single drop microextraction; Solvent microextraction; Solvent extraction; alkaloid; edible oil; fungicide; heavy metal; ionic liquid; magnetic nanoparticle; molecularly imprinted polymer; polycyclic aromatic hydrocarbon; quercetin; selenium; triazine; tributyl phosphate; vegetable oil; automation; capillary electrophoresis; cereal; dispersive liquid phase microextraction; emulsion; extraction; fruit juice; gas chromatography; headspace single drop microextraction; hollow fiber protected 2 phase microextraction; hollow fiber protected 3 phase microextraction; honey; liquid liquid liquid microextraction; liquid phase microextraction; microfluidics; micropipette; molecular stability; particle size; pollutant; priority journal; review; single drop microextraction; solid phase microextraction; solvent microextraction; water analysis	Review	Final		Scopus	2-s2.0-84873292611
"Baker D.R., Kasprzyk-Hordern B."	57197220811;6506056329;	"Critical evaluation of methodology commonly used in sample collection, storage and preparation for the analysis of pharmaceuticals and illicit drugs in surface water and wastewater by solid phase extraction and liquid chromatography-mass spectrometry"	2011	Journal of Chromatography A	1218	44		8036	8059		140	10.1016/j.chroma.2011.09.012	https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053954472&doi=10.1016%2fj.chroma.2011.09.012&partnerID=40&md5=eac60fd3438c417efb2a161c0a85696a	Drugs of abuse; Environment; Illicit drugs; LC-MS/MS; Multi-residue; Pharmaceuticals; River water; Sample preparation; Sewage; Sewage epidemiology; Sewage forensics; Silanisation; SPE; Stability study; Surface water; Wastewater	"Drugs of abuse; Environment; Illicit drug; LC-MS/MS; Multi-residue; River water; Sample preparation; Silanisation; SPE; Stability study; Anesthetics; Diseases; Glass fibers; Liquid chromatography; Mass spectrometry; Microfiltration; Sewage; Stability; Surface waters; Wastewater; Solvent extraction; amitriptyline; anesthetic agent; antidepressant agent; benzodiazepine derivative; cannabinoid derivative; chlordiazepoxide; cocaine; codeine; dextropropoxyphene; diazepam; dihydrocodeine; dosulepin; ephedrine; fentanyl; fluoxetine; glass; illicit drug; ketamine; methadone; methaqualone; morphine derivative; norephedrine; opiate; oxazepam; phencyclidine; sildenafil; surface water; tramadol; venlafaxine; aquatic environment; article; controlled study; drug stability; evaporation; extraction; filtration; human; liquid chromatography; mass spectrometry; methodology; pH; priority journal; solid phase extraction; storage; temperature; urinalysis; waste water; waste water treatment plant; Chromatography, Liquid; Drug Stability; Methanol; Pharmaceutical Preparations; Rivers; Sewage; Silanes; Solid Phase Extraction; Solvents; Street Drugs; Tandem Mass Spectrometry; Temperature"	Article	Final		Scopus	2-s2.0-80053954472
Pragst F.	7003272601;	Application of solid-phase microextraction in analytical toxicology	2007	Analytical and Bioanalytical Chemistry	388	7		1393	1414		137	10.1007/s00216-007-1289-9	https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547294240&doi=10.1007%2fs00216-007-1289-9&partnerID=40&md5=7a3303e041fa498df44112e40904ea1d	Drug analysis by solid-phase microextraction; Headspace extraction; In-tube solid-phase microextraction; Sample preparation; Solid-phase microextraction; Volatile poisons	"Absorption; Blood; Chromatographic analysis; Gas chromatography; Immunology; Liquid chromatography; Pesticides; Syringes; Drug analysis; Headspace extraction; In-tube solid-phase microextraction; Sample preparation; Solid-phase microextraction; Volatile poisons; Phase separation; drug; chemistry; equipment design; human; instrumentation; isolation and purification; methodology; review; solid phase microextraction; toxicology; Chemistry, Analytical; Equipment Design; Humans; Pharmaceutical Preparations; Solid Phase Microextraction; Toxicology"	Review	Final		Scopus	2-s2.0-34547294240
"Lynnerup N., Kjeldsen H., Heegaard S., Jacobsen C., Heinemeier J."	7003342155;57204345527;7004251127;36852594800;7003985450;	Radiocarbon dating of the human eye lens crystallines reveal proteins without carbon turnover throughout life	2008	PLoS ONE	3	1	 e1529				133	10.1371/journal.pone.0001529	https://www.scopus.com/inward/record.uri?eid=2-s2.0-45149103497&doi=10.1371%2fjournal.pone.0001529&partnerID=40&md5=e81aa0617e1b87e21ee47f5e98e7bb04		"carbon 14; lens crystalline protein; lens protein; carbon; eye protein; accuracy; animal tissue; article; human; lens; lens nucleus; mathematical model; nonhuman; protein determination; protein expression; protein metabolism; protein synthesis; protein targeting; senility; lens; metabolism; Carbon; Carbon Radioisotopes; Eye Proteins; Humans; Lens, Crystalline"	Article	Final	Open Access	Scopus	2-s2.0-45149103497
Naeye R.L.	7005371691;	Pulmonary Arterial Abnormalities in the Sudden-Infant-Death Syndrome	1973	New England Journal of Medicine	289	22		1167	1170		133	10.1056/NEJM197311292892204	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015717908&doi=10.1056%2fNEJM197311292892204&partnerID=40&md5=870661d31cda116c0b769b64d13caf9f		altitude; autopsy; child; diagnosis; fatality; forensic medicine; histology; hyperplasia; hypertrophy; hypoxia; lung alveolus hypoxia; lung artery; muscle; pulmonary artery malformation; smooth muscle fiber; sudden death	Article	Final		Scopus	2-s2.0-0015717908
"Garrett B.L., Neufeld P.J."	15063972400;8635565100;	Invalid forensic science testimony and wrongful convictions	2009	Virginia Law Review	95	1		1	97		130		https://www.scopus.com/inward/record.uri?eid=2-s2.0-65349105013&partnerID=40&md5=da73768d681ecb01ba778dd09b4e912a			Review	Final		Scopus	2-s2.0-65349105013
"Fukuda Y., Ferrans V.J., Schoenberger C.I., Rennard S.I., Crystal R.G."	7402720888;35375017900;6602408561;35396193900;24533030400;	Patterns of pulmonary structural remodeling after experimental paraquat toxicity. The morphogenesis of intraalveolar fibrosis	1985	American Journal of Pathology	118	3		452	475		129		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021999182&partnerID=40&md5=d384fcaf4e68f7784df2377507b77c02		"fibronectin; paraquat; animal cell; animal experiment; autopsy; cytology; electron microscopy; etiology; forensic medicine; histology; histopathology; immunohistochemistry; intoxication; lung fibrosis; monkey; nonhuman; priority journal; respiratory system; Animals; Basement Membrane; Collagen; Connective Tissue; Epithelium; Fibronectins; Histocytochemistry; Immunologic Techniques; Lung; Macaca fascicularis; Microscopy, Electron; Models, Biological; Paraquat; Pulmonary Alveoli; Pulmonary Fibrosis; Time Factors"	Article	Final		Scopus	2-s2.0-0021999182
"Lorenzo N., Wan T., Harper R.J., Hsu Y.-L., Chow M., Rose S., Furton K.G."	56962875300;8590073100;7401530194;7401583152;36829802500;7402127798;7004543580;	"Laboratory and field experiments used to identify Canis lupus var. familiaris active odor signature chemicals from drugs, explosives, and humans"	2003	Analytical and Bioanalytical Chemistry	376	8		1212	1224		124	10.1007/s00216-003-2018-7	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141990745&doi=10.1007%2fs00216-003-2018-7&partnerID=40&md5=5d53eb7eaf717124cc531d97d0c40544	Canine detection; Drugs; Explosives; Human remains; SPME	"Chemical analysis; Explosives; Gas chromatography; Laboratories; Odors; Personnel training; Canine detection; Electron capture detector; Human remains; SPME; Drug dosage; Canis familiaris; Canis lupus; 3,4 methylenedioxymethamphetamine; street drug; animal; article; crime; dog; explosion; human; instrumentation; methodology; odor; substance abuse; Animals; Crime; Dogs; Explosions; Humans; N-Methyl-3,4-methylenedioxyamphetamine; Odors; Street Drugs; Substance Abuse Detection"	Article	Final		Scopus	2-s2.0-0141990745
"Bouchardy B., Majno G."	6507096048;7005539557;	Histopathology of early myocardial infarcts. A new approach	1974	American Journal of Pathology	74	2		301	317		117		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015970653&partnerID=40&md5=3a3656f8a7346881f8078b6170b69a1f		autopsy; diagnosis; fatality; forensic medicine; heart infarction; heart muscle cell; histology; sudden death; Autolysis; Autopsy; Cell Nucleus; Cell Survival; Coronary Circulation; Histological Techniques; Human; Inclusion Bodies; Myocardial Infarction; Myocardium; Myofibrils; Rigor Mortis; Time Factors	Article	Final		Scopus	2-s2.0-0015970653
Robbins C.R.	7102535780;	"Chemical and physical behavior of human hair, 5th edition"	2012	"Chemical and Physical Behavior of Human Hair, 5th Edition"				1	724		116	10.1007/9783642256110	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955094591&doi=10.1007%2f9783642256110&partnerID=40&md5=be7ad2d3698ec03263f1f0b85bf47664		Cosmetics; Forensic science; Genes; Proteins; Textile carding; Textile industry; Textiles; Additional datum; American Chemical Society; Chemical and physical properties; Forensic scientists; Keratin-associated proteins; Physical behaviors; Scientific investigation; Textile researches; Behavioral research	Book	Final		Scopus	2-s2.0-84955094591
"Lu J., Ge S., Ge L., Yan M., Yu J."	55493303000;25932054200;33968351900;35241499900;35241150000;	Electrochemical DNA sensor based on three-dimensional folding paper device for specific and sensitive point-of-care testing	2012	Electrochimica Acta	80			334	341		115	10.1016/j.electacta.2012.07.024	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865267213&doi=10.1016%2fj.electacta.2012.07.024&partnerID=40&md5=c95fb3afa35110c607ed4fca9d762351	AuNPs/graphene; Electrochemical DNA sensor; Microfluidic paper-based analytical device; Point-of-care testing	AuNPs/graphene; Bioconjugates; Chain structure; Developed countries; Diagnostic device; Diagnostic tests; DNA sensors; Double-stranded DNA (ds-DNA); Electrochemical DNA sensor; Environmental Monitoring; Excellent performance; Field application; High sensitivity; Human serum; Medical diagnostics; Nanoporous gold; Optimal conditions; Point-of-care testing; Remote regions; Renewable resource; Reproducibilities; Screen printed electrodes; Screen-printed; Sensitive devices; Analytic equipment; Biomolecules; Costs; DNA; Microfluidics; Paper; Sensors; Textile fibers; Electrochemical electrodes; Cellulose Fibers; Costs; Electrochemistry; Nucleic Acids; Sensors; Textile Fibers	Article	Final		Scopus	2-s2.0-84865267213
"He Y., Pohl J., Engel R., Rothman L., Thomas M."	55498934800;40262344900;7202509086;26536632500;35211890000;	Preparation of ionic liquid based solid-phase microextraction fiber and its application to forensic determination of methamphetamine and amphetamine in human urine	2009	Journal of Chromatography A	1216	24		4824	4830		113	10.1016/j.chroma.2009.04.028	https://www.scopus.com/inward/record.uri?eid=2-s2.0-65549135273&doi=10.1016%2fj.chroma.2009.04.028&partnerID=40&md5=ffe3c80f4ebcdad2e152245f065281d3	Ionic liquid; Solid-phase microextraction (SPME)	Concentration of; Cross linkages; Development stages; Extraction temperatures; Extraction time; Fused-silica fibers; Gas chromatography/mass spectrometries; Headspace; Human urines; Low detection limits; Sample matrices; Sample preparation methods; Selected-ion-monitoring; Silicone elastomers; Solid-phase microextraction (SPME); Solid-phase microextraction fibers; Trifluoromethane; Amines; Body fluids; Computer software reusability; Fibers; Fused silica; Ionic liquids; Ionization of liquids; Ions; Polymers; Silica; Silicones; Extraction; 1 ethoxyethyl 3 methylimidazloium bis(trifluoromethane)sulfonylimide; amphetamine; imide; ionic liquid; methamphetamine; unclassified drug; article; controlled study; gas chromatography; human; ion monitoring; mass spectrometry; priority journal; solid phase microextraction; urinalysis; Amphetamine; Forensic Medicine; Humans; Ionic Liquids; Methamphetamine; Sensitivity and Specificity; Solid Phase Microextraction	Article	Final		Scopus	2-s2.0-65549135273
